Orthogroup	m_conductrix_genome_proteins	a99_genome_proteins
OG0004629	PSC71201.1	scaffold3.g6522.t1
OG0004630	PSC71102.1	scaffold3.g6524.t1
OG0004631	PSC71077.1	scaffold3.g6525.t1
OG0004632	PSC71203.1	scaffold3.g6526.t1
OG0004633	PSC71207.1	scaffold3.g6527.t1
OG0004634	PSC71082.1	scaffold3.g6528.t1
OG0004635	PSC71161.1	scaffold3.g6529.t1
OG0004636	PSC76231.1	scaffold3.g6531.t1
OG0004637	PSC76700.1	scaffold3.g6532.t1
OG0004638	PSC76347.1	scaffold3.g6533.t1
OG0004639	PSC76562.1	scaffold3.g6535.t1
OG0004640	PSC76642.1	scaffold3.g6536.t1
OG0004641	PSC76839.1	scaffold3.g6539.t1
OG0004642	PSC76107.1	scaffold3.g6540.t1
OG0004643	PSC76540.1	scaffold3.g6541.t1
OG0004645	PSC76267.1	scaffold3.g6545.t1
OG0004646	PSC76831.1	scaffold3.g6546.t1
OG0004647	PSC76786.1	scaffold3.g6549.t1
OG0004648	PSC76550.1	scaffold3.g6550.t1
OG0004649	PSC76230.1	scaffold3.g6551.t1
OG0004650	PSC76043.1	scaffold3.g6552.t1
OG0004651	PSC76466.1	scaffold3.g6562.t1
OG0004652	PSC71019.1	scaffold3.g6568.t1
OG0004653	PSC71117.1	scaffold3.g6569.t1
OG0004654	PSC71008.1	scaffold3.g6570.t1
OG0004655	PSC71015.1	scaffold3.g6581.t1
OG0004656	PSC71182.1	scaffold3.g6586.t1
OG0004657	PSC71977.1	scaffold3.g6588.t1
OG0004658	PSC76921.1	scaffold3.g6591.t1
OG0004659	PSC76819.1	scaffold3.g6592.t1
OG0004660	PSC71031.1	scaffold3.g6594.t1
OG0004661	PSC71143.1	scaffold3.g6596.t1
OG0004662	PSC71199.1	scaffold3.g6597.t1
OG0004663	PSC71013.1	scaffold3.g6598.t1
OG0004664	PSC71211.1	scaffold3.g6599.t1
OG0004665	PSC76403.1	scaffold3.g6603.t1
OG0004666	PSC77045.1	scaffold3.g6606.t1
OG0004667	PSC76132.1	scaffold3.g6607.t1
OG0004668	PSC77067.1	scaffold3.g6613.t1
OG0004669	PSC68041.1	scaffold3.g6618.t1
OG0004670	PSC76648.1	scaffold3.g6622.t1
OG0004671	PSC67775.1	scaffold3.g6624.t1
OG0004672	PSC67803.1	scaffold3.g6625.t1
OG0004673	PSC67760.1	scaffold3.g6628.t1
OG0004674	PSC76743.1	scaffold3.g6629.t1
OG0004675	PSC76096.1	scaffold3.g6630.t1
OG0004677	PSC76739.1	scaffold3.g6634.t1
OG0004678	PSC68035.1	scaffold3.g6638.t1
OG0004679	PSC75719.1	scaffold3.g6643.t1
OG0004680	PSC77032.1	scaffold3.g6645.t1
OG0004681	PSC76877.1	scaffold3.g6648.t1
OG0004682	PSC76094.1	scaffold3.g6650.t1
OG0004683	PSC76668.1	scaffold3.g6651.t1
OG0004684	PSC76566.1	scaffold3.g6653.t1
OG0004685	PSC76981.1	scaffold3.g6656.t1
OG0004686	PSC76462.1	scaffold3.g6658.t1
OG0004687	PSC76859.1	scaffold3.g6659.t1
OG0004688	PSC76759.1	scaffold3.g6661.t1
OG0004689	PSC70258.1	scaffold3.g6664.t1
OG0004690	PSC76869.1	scaffold3.g6666.t1
OG0004691	PSC76422.1	scaffold3.g6669.t1
OG0004692	PSC76580.1	scaffold3.g6670.t1
OG0004693	PSC76349.1	scaffold3.g6671.t1
OG0004694	PSC76958.1	scaffold3.g6672.t1
OG0004695	PSC76492.1	scaffold3.g6673.t1
OG0004696	PSC76546.1	scaffold3.g6674.t1
OG0004697	PSC76113.1	scaffold3.g6677.t1
OG0004698	PSC76647.1	scaffold3.g6680.t1
OG0004699	PSC76358.1	scaffold3.g6684.t1
OG0004700	PSC76568.1	scaffold3.g6686.t1
OG0004701	PSC76319.1	scaffold3.g6687.t1
OG0004702	PSC76280.1	scaffold3.g6690.t1
OG0004703	PSC73096.1	scaffold3.g6698.t1
OG0004704	PSC73054.1	scaffold3.g6699.t1
OG0004705	PSC73186.1	scaffold3.g6700.t1
OG0004706	PSC74089.1	scaffold3.g6702.t1
OG0004707	PSC72170.1	scaffold3.g6704.t1
OG0004708	PSC73104.1	scaffold3.g6709.t1
OG0004709	PSC73025.1	scaffold3.g6710.t1
OG0004710	PSC72977.1	scaffold3.g6711.t1
OG0004711	PSC76497.1	scaffold3.g6712.t1
OG0004712	PSC73111.1, PSC73038.1	scaffold3.g6714.t1
OG0004713	PSC72937.1	scaffold3.g6716.t1
OG0004714	PSC73102.1	scaffold3.g6717.t1
OG0004715	PSC72991.1	scaffold3.g6718.t1
OG0004716	PSC67407.1	scaffold3.g6719.t1
OG0004717	PSC73114.1	scaffold3.g6720.t1
OG0004718	PSC73069.1	scaffold3.g6723.t1
OG0004719	PSC67400.1	scaffold3.g6724.t1
OG0004720	PSC73139.1	scaffold3.g6728.t1
OG0004721	PSC73093.1, PSC73092.1	scaffold3.g6733.t1
OG0004722	PSC67404.1	scaffold3.g6739.t1
OG0004723	PSC67414.1	scaffold3.g6740.t1
OG0004724	PSC70860.1	scaffold3.g6742.t1
OG0004725	PSC70862.1	scaffold3.g6746.t1
OG0004726	PSC70884.1	scaffold3.g6748.t1
OG0004727	PSC70926.1	scaffold3.g6749.t1
OG0004728	PSC71005.1	scaffold3.g6750.t1
OG0004729	PSC73079.1	scaffold3.g6754.t1
OG0004730	PSC73059.1	scaffold3.g6755.t1
OG0004731	PSC70875.1	scaffold3.g6757.t1
OG0004732	PSC67418.1	scaffold3.g6758.t1
OG0004733	PSC67398.1	scaffold3.g6760.t1
OG0004734	PSC67396.1	scaffold3.g6761.t1
OG0004735	PSC70870.1	scaffold3.g6763.t1
OG0004736	PSC68462.1	scaffold3.g6764.t1
OG0004737	PSC68405.1	scaffold3.g6770.t1
OG0004738	PSC74097.1	scaffold3.g6771.t1
OG0004739	PSC70573.1	scaffold2.g6773.t1
OG0004740	PSC73333.1	scaffold2.g6779.t1
OG0004741	PSC73299.1	scaffold2.g6780.t1
OG0004742	PSC74172.1, PSC74171.1	scaffold2.g6782.t1
OG0004743	PSC70640.1	scaffold2.g6783.t1
OG0004744	PSC73280.1	scaffold2.g6785.t1
OG0004745	PSC73216.1	scaffold2.g6786.t1
OG0004746	PSC73518.1	scaffold2.g6793.t1
OG0004747	PSC73451.1	scaffold2.g6797.t1
OG0004748	PSC75528.1	scaffold2.g6799.t1
OG0004749	PSC74571.1	scaffold2.g6801.t1
OG0004750	PSC74761.1	scaffold2.g6802.t1
OG0004751	PSC74041.1	scaffold2.g6804.t1
OG0004752	PSC73301.1	scaffold2.g6806.t1
OG0004753	PSC74145.1	scaffold2.g6809.t1
OG0004754	PSC73428.1	scaffold2.g6810.t1
OG0004755	PSC73492.1	scaffold2.g6819.t1
OG0004756	PSC73379.1	scaffold2.g6820.t1
OG0004757	PSC73273.1	scaffold2.g6821.t1
OG0004758	PSC73488.1	scaffold2.g6824.t1
OG0004759	PSC73404.1	scaffold2.g6828.t1
OG0004760	PSC73455.1	scaffold2.g6829.t1
OG0004761	PSC73431.1	scaffold2.g6835.t1
OG0004762	PSC73307.1	scaffold2.g6839.t1
OG0004763	PSC74917.1	scaffold2.g6840.t1
OG0004764	PSC75655.1	scaffold2.g6842.t1
OG0004765	PSC75516.1	scaffold2.g6846.t1
OG0004766	PSC75577.1	scaffold2.g6847.t1
OG0004767	PSC73372.1	scaffold2.g6848.t1
OG0004768	PSC75535.1	scaffold2.g6851.t1
OG0004769	PSC72227.1	scaffold2.g6852.t1
OG0004770	PSC75399.1	scaffold2.g6854.t1
OG0004771	PSC72289.1	scaffold2.g6855.t1
OG0004772	PSC72063.1	scaffold2.g6856.t1
OG0004773	PSC73759.1	scaffold2.g6859.t1
OG0004774	PSC72140.1	scaffold2.g6861.t1
OG0004775	PSC70499.1	scaffold2.g6863.t1
OG0004776	PSC70946.1	scaffold2.g6865.t1
OG0004777	PSC70590.1	scaffold2.g6866.t1
OG0004778	PSC70526.1	scaffold2.g6871.t1
OG0004779	PSC75785.1	scaffold2.g6873.t1
OG0004780	PSC74455.1	scaffold2.g6874.t1
OG0004781	PSC74714.1	scaffold2.g6875.t1
OG0004782	PSC71128.1	scaffold2.g6876.t1
OG0004783	PSC74647.1	scaffold2.g6877.t1
OG0004784	PSC74364.1	scaffold2.g6878.t1
OG0004785	PSC74752.1	scaffold2.g6880.t1
OG0004786	PSC74772.1	scaffold2.g6881.t1
OG0004787	PSC74503.1	scaffold2.g6884.t1
OG0004788	PSC74366.1	scaffold2.g6885.t1
OG0004789	PSC69825.1	scaffold2.g6891.t1
OG0004790	PSC74561.1	scaffold2.g6893.t1
OG0004791	PSC74461.1	scaffold2.g6895.t1
OG0004792	PSC69480.1	scaffold2.g6909.t1
OG0004793	PSC74133.1	scaffold2.g6914.t1
OG0004794	PSC74207.1	scaffold2.g6916.t1
OG0004795	PSC73615.1	scaffold2.g6920.t1
OG0004796	PSC74045.1	scaffold2.g6925.t1
OG0004797	PSC68853.1	scaffold2.g6929.t1
OG0004798	PSC74086.1	scaffold2.g6930.t1
OG0004799	PSC74343.1	scaffold2.g6931.t1
OG0004800	PSC74092.1	scaffold2.g6933.t1
OG0004801	PSC74178.1	scaffold2.g6934.t1
OG0004802	PSC74303.1	scaffold2.g6935.t1
OG0004803	PSC73990.1	scaffold2.g6936.t1
OG0004804	PSC74082.1	scaffold2.g6942.t1
OG0004805	PSC74098.1	scaffold2.g6944.t1
OG0004806	PSC74166.1	scaffold2.g6948.t1
OG0004807	PSC68996.1	scaffold2.g6951.t1
OG0004808	PSC74185.1	scaffold2.g6953.t1
OG0004809	PSC74112.1	scaffold2.g6954.t1
OG0004810	PSC74060.1	scaffold2.g6956.t1
OG0004811	PSC74158.1	scaffold2.g6957.t1
OG0004812	PSC73983.1	scaffold2.g6959.t1
OG0004813	PSC75995.1	scaffold2.g6970.t1
OG0004814	PSC74057.1	scaffold2.g6972.t1
OG0004816	PSC74103.1	scaffold2.g6974.t1
OG0004817	PSC74143.1	scaffold2.g6983.t1
OG0004818	PSC69870.1	scaffold2.g6986.t1
OG0004819	PSC74317.1	scaffold2.g6987.t1
OG0004820	PSC74228.1	scaffold2.g6991.t1
OG0004821	PSC74210.1	scaffold2.g6992.t1
OG0004822	PSC74074.1	scaffold2.g6999.t1
OG0004823	PSC74349.1	scaffold2.g7000.t1
OG0004824	PSC74226.1	scaffold2.g7006.t1
OG0004825	PSC74024.1	scaffold2.g7008.t1
OG0004826	PSC74090.1	scaffold2.g7009.t1
OG0004827	PSC74351.1	scaffold2.g7012.t1
OG0004828	PSC74281.1	scaffold2.g7022.t1
OG0004829	PSC74124.1	scaffold2.g7025.t1
OG0004830	PSC73955.1	scaffold2.g7026.t1
OG0004831	PSC69754.1	scaffold2.g7029.t1
OG0004832	PSC74195.1	scaffold2.g7034.t1
OG0004833	PSC74299.1	scaffold2.g7037.t1
OG0004834	PSC74053.1	scaffold2.g7042.t1
OG0004835	PSC73985.1	scaffold2.g7045.t1
OG0004836	PSC71883.1	scaffold2.g7049.t1
OG0004837	PSC74267.1	scaffold2.g7051.t1
OG0004838	PSC74037.1	scaffold2.g7052.t1
OG0004839	PSC75970.1	scaffold2.g7054.t1
OG0004840	PSC74146.1	scaffold2.g7057.t1
OG0004841	PSC75181.1	scaffold2.g7059.t1
OG0004842	PSC67780.1	scaffold2.g7060.t1
OG0004844	PSC75814.1	scaffold2.g7070.t1
OG0004845	PSC75513.1	scaffold2.g7072.t1
OG0004846	PSC73368.1	scaffold2.g7073.t1
OG0004847	PSC75557.1	scaffold2.g7075.t1
OG0004848	PSC67807.1	scaffold2.g7083.t1
OG0004849	PSC68058.1	scaffold2.g7084.t1
OG0004850	PSC68037.1	scaffold2.g7085.t1
OG0004851	PSC70542.1	scaffold2.g7088.t1
OG0004852	PSC76553.1	scaffold2.g7096.t1
OG0004853	PSC75558.1	scaffold2.g7099.t1
OG0004854	PSC75339.1	scaffold2.g7102.t1
OG0004855	PSC75793.1	scaffold2.g7104.t1
OG0004856	PSC75301.1	scaffold2.g7108.t1
OG0004857	PSC75382.1	scaffold2.g7113.t1
OG0004858	PSC75560.1	scaffold2.g7119.t1
OG0004859	PSC68485.1	scaffold2.g7138.t1
OG0004860	PSC69831.1	scaffold2.g7140.t1
OG0004861	PSC75436.1	scaffold2.g7142.t1
OG0004862	PSC74985.1	scaffold2.g7144.t1
OG0004863	PSC68419.1	scaffold2.g7145.t1
OG0004864	PSC73633.1	scaffold2.g7146.t1
OG0004865	PSC73915.1	scaffold2.g7147.t1
OG0004866	PSC71756.1	scaffold2.g7150.t1
OG0004867	PSC70744.1	scaffold2.g7151.t1
OG0004868	PSC71770.1	scaffold2.g7153.t1
OG0004869	PSC71725.1	scaffold2.g7154.t1
OG0004870	PSC71679.1	scaffold2.g7156.t1
OG0004871	PSC71681.1	scaffold2.g7157.t1
OG0004872	PSC68566.1	scaffold2.g7160.t1
OG0004873	PSC71761.1	scaffold2.g7164.t1
OG0004874	PSC71749.1	scaffold2.g7169.t1
OG0004876	PSC71840.1	scaffold2.g7179.t1
OG0004877	PSC70688.1	scaffold2.g7187.t1
OG0004878	PSC72985.1	scaffold2.g7195.t1
OG0004879	PSC72997.1	scaffold2.g7196.t1
OG0004880	PSC67166.1	scaffold2.g7200.t1
OG0004881	PSC71806.1	scaffold2.g7202.t1
OG0004882	PSC71684.1	scaffold2.g7210.t1
OG0004883	PSC71688.1, PSC71689.1	scaffold2.g7211.t1
OG0004884	PSC71734.1	scaffold2.g7214.t1
OG0004885	PSC76200.1	scaffold2.g7221.t1
OG0004886	PSC76272.1	scaffold2.g7222.t1
OG0004887	PSC77009.1	scaffold2.g7223.t1
OG0004888	PSC76022.1	scaffold2.g7225.t1
OG0004889	PSC76890.1	scaffold2.g7226.t1
OG0004890	PSC71800.1	scaffold2.g7228.t1
OG0004891	PSC71682.1	scaffold2.g7229.t1
OG0004892	PSC71677.1	scaffold2.g7231.t1
OG0004893	PSC71733.1	scaffold2.g7232.t1
OG0004894	PSC73872.1	scaffold2.g7239.t1
OG0004895	PSC76980.1	scaffold2.g7241.t1
OG0004896	PSC77007.1	scaffold2.g7242.t1
OG0004897	PSC76774.1	scaffold2.g7243.t1
OG0004898	PSC76287.1	scaffold2.g7246.t1
OG0004899	PSC76357.1	scaffold2.g7256.t1
OG0004900	PSC76416.1	scaffold2.g7257.t1
OG0004901	PSC76116.1	scaffold2.g7258.t1
OG0004902	PSC76139.1	scaffold2.g7260.t1
OG0004903	PSC76059.1	scaffold2.g7262.t1
OG0004904	PSC76983.1	scaffold2.g7264.t1
OG0004905	PSC72325.1	scaffold2.g7267.t1
OG0004906	PSC76071.1	scaffold2.g7269.t1
OG0004907	PSC76196.1	scaffold2.g7270.t1
OG0004908	PSC76513.1	scaffold2.g7274.t1
OG0004909	PSC77031.1	scaffold2.g7277.t1
OG0004910	PSC71715.1	scaffold2.g7282.t1
OG0004911	PSC73550.1	scaffold2.g7283.t1
OG0004912	PSC73803.1	scaffold2.g7284.t1
OG0004913	PSC73598.1	scaffold2.g7285.t1
OG0004914	PSC70799.1	scaffold2.g7298.t1
OG0004915	PSC76261.1	scaffold2.g7303.t1
OG0004916	PSC76949.1	scaffold2.g7308.t1
OG0004917	PSC76784.1	scaffold2.g7310.t1
OG0004918	PSC76209.1	scaffold2.g7313.t1
OG0004919	PSC76506.1	scaffold2.g7314.t1
OG0004920	PSC76776.1	scaffold2.g7316.t1
OG0004921	PSC76611.1	scaffold2.g7317.t1
OG0004922	PSC76526.1	scaffold2.g7318.t1
OG0004923	PSC77023.1	scaffold2.g7319.t1
OG0004924	PSC76102.1	scaffold2.g7321.t1
OG0004925	PSC70790.1	scaffold2.g7326.t1
OG0004926	PSC70766.1	scaffold2.g7331.t1
OG0004927	PSC70687.1	scaffold2.g7336.t1
OG0004928	PSC70658.1, PSC70659.1	scaffold2.g7340.t1
OG0004929	PSC70662.1	scaffold2.g7341.t1
OG0004930	PSC70654.1	scaffold2.g7342.t1
OG0004931	PSC70806.1	scaffold2.g7349.t1
OG0004932	PSC70750.1	scaffold2.g7353.t1
OG0004933	PSC70666.1	scaffold2.g7354.t1
OG0004934	PSC72161.1	scaffold2.g7355.t1
OG0004935	PSC73670.1	scaffold2.g7358.t1
OG0004936	PSC76576.1	scaffold2.g7363.t1
OG0004937	PSC76350.1	scaffold2.g7364.t1
OG0004938	PSC76277.1	scaffold2.g7365.t1
OG0004939	PSC72379.1	scaffold2.g7366.t1
OG0004940	PSC76626.1	scaffold2.g7370.t1
OG0004941	PSC71397.1	scaffold2.g7378.t1
OG0004942	PSC70485.1	scaffold2.g7384.t1
OG0004943	PSC70390.1	scaffold2.g7386.t1
OG0004944	PSC70316.1	scaffold2.g7387.t1
OG0004945	PSC70312.1	scaffold2.g7396.t1
OG0004946	PSC70391.1	scaffold2.g7399.t1
OG0004947	PSC70437.1	scaffold2.g7400.t1
OG0004948	PSC70304.1, PSC70448.1	scaffold2.g7407.t1
OG0004949	PSC70310.1	scaffold2.g7408.t1
OG0004950	PSC70439.1	scaffold2.g7410.t1
OG0004951	PSC70369.1	scaffold2.g7411.t1
OG0004952	PSC70372.1	scaffold2.g7412.t1
OG0004953	PSC70357.1	scaffold2.g7416.t1
OG0004954	PSC70470.1	scaffold2.g7417.t1
OG0004955	PSC70383.1	scaffold2.g7419.t1
OG0004956	PSC70355.1	scaffold2.g7421.t1
OG0004957	PSC68051.1	scaffold2.g7426.t1
OG0004958	PSC70944.1	scaffold2.g7429.t1
OG0004959	PSC70300.1	scaffold2.g7436.t1
OG0004960	PSC70888.1	scaffold2.g7437.t1
OG0004961	PSC70913.1	scaffold2.g7438.t1
OG0004962	PSC68046.1	scaffold2.g7443.t1
OG0004963	PSC76169.1	scaffold2.g7449.t1
OG0004964	PSC67915.1	scaffold2.g7453.t1
OG0004965	PSC68012.1	scaffold2.g7457.t1
OG0004966	PSC67747.1	scaffold2.g7459.t1
OG0004967	PSC67750.1, PSC67751.1	scaffold2.g7460.t1
OG0004968	PSC67728.1	scaffold2.g7462.t1
OG0004969	PSC68060.1	scaffold2.g7463.t1
OG0004970	PSC68077.1	scaffold2.g7464.t1
OG0004971	PSC68068.1	scaffold2.g7469.t1
OG0004972	PSC68019.1	scaffold2.g7473.t1
OG0004973	PSC68056.1	scaffold2.g7476.t1
OG0004974	PSC68049.1	scaffold2.g7477.t1
OG0004975	PSC68027.1	scaffold2.g7478.t1
OG0004976	PSC68038.1	scaffold2.g7480.t1
OG0004977	PSC70174.1	scaffold2.g7487.t1
OG0004978	PSC70249.1	scaffold2.g7490.t1
OG0004979	PSC70205.1	scaffold2.g7491.t1
OG0004980	PSC67318.1	scaffold2.g7495.t1
OG0004981	PSC75016.1	scaffold2.g7498.t1
OG0004982	PSC74165.1	scaffold2.g7510.t1
OG0004983	PSC70153.1	scaffold2.g7513.t1
OG0004984	PSC70165.1	scaffold2.g7514.t1
OG0004985	PSC70180.1	scaffold2.g7516.t1
OG0004986	PSC70227.1	scaffold2.g7518.t1
OG0004987	PSC70186.1	scaffold2.g7520.t1
OG0004988	PSC70225.1	scaffold2.g7521.t1
OG0004989	PSC70226.1	scaffold2.g7522.t1
OG0004990	PSC70173.1, PSC73453.1	scaffold2.g7523.t1
OG0004991	PSC70199.1	scaffold2.g7525.t1
OG0004992	PSC70222.1	scaffold2.g7526.t1
OG0004993	PSC70284.1	scaffold2.g7527.t1
OG0004994	PSC67730.1	scaffold2.g7528.t1
OG0004995	PSC67738.1	scaffold2.g7529.t1
OG0004996	PSC67734.1	scaffold2.g7532.t1
OG0004997	PSC70187.1	scaffold2.g7535.t1
OG0004998	PSC74677.1	scaffold28.g7539.t1
OG0004999	PSC70333.1	scaffold28.g7546.t1
OG0005000	PSC70432.1	scaffold28.g7547.t1
OG0005001	PSC70467.1	scaffold28.g7550.t1, scaffold28.g7551.t1
OG0005002	PSC69592.1	scaffold28.g7552.t1
OG0005003	PSC70434.1	scaffold28.g7556.t1
OG0005004	PSC70409.1	scaffold28.g7557.t1
OG0005005	PSC70445.1	scaffold28.g7558.t1
OG0005006	PSC70371.1	scaffold28.g7562.t1
OG0005007	PSC70327.1	scaffold28.g7565.t1
OG0005008	PSC70463.1	scaffold28.g7568.t1
OG0005009	PSC70462.1	scaffold28.g7574.t1
OG0005010	PSC70370.1	scaffold28.g7577.t1
OG0005011	PSC70308.1	scaffold28.g7579.t1
OG0005012	PSC70351.1	scaffold28.g7587.t1
OG0005013	PSC70367.1	scaffold28.g7588.t1
OG0005014	PSC70388.1	scaffold28.g7589.t1
OG0005015	PSC70322.1	scaffold28.g7594.t1
OG0005016	PSC70482.1	scaffold28.g7596.t1
OG0005017	PSC70382.1	scaffold28.g7597.t1
OG0005018	PSC70339.1	scaffold28.g7598.t1
OG0005019	PSC70481.1	scaffold28.g7599.t1
OG0005020	PSC70447.1	scaffold28.g7600.t1
OG0005021	PSC67530.1	scaffold28.g7601.t1
OG0005022	PSC72317.1	scaffold20.g7603.t1
OG0005023	PSC71136.1	scaffold20.g7609.t1
OG0005024	PSC71215.1	scaffold20.g7612.t1
OG0005025	PSC71090.1	scaffold20.g7614.t1
OG0005026	PSC71205.1	scaffold20.g7617.t1
OG0005027	PSC71132.1	scaffold20.g7618.t1
OG0005028	PSC71109.1	scaffold20.g7621.t1
OG0005029	PSC71022.1	scaffold20.g7622.t1
OG0005030	PSC71089.1	scaffold20.g7623.t1
OG0005031	PSC71154.1	scaffold20.g7626.t1
OG0005032	PSC71099.1	scaffold20.g7627.t1
OG0005033	PSC71189.1	scaffold20.g7630.t1
OG0005034	PSC71141.1	scaffold20.g7632.t1
OG0005036	PSC71076.1	scaffold20.g7636.t1
OG0005037	PSC71157.1	scaffold20.g7637.t1
OG0005038	PSC71053.1	scaffold20.g7640.t1
OG0005039	PSC71064.1	scaffold20.g7642.t1
OG0005040	PSC71052.1	scaffold20.g7644.t1
OG0005041	PSC71188.1	scaffold20.g7645.t1
OG0005042	PSC71118.1	scaffold20.g7647.t1
OG0005043	PSC71107.1	scaffold20.g7649.t1
OG0005044	PSC71018.1	scaffold20.g7660.t1
OG0005045	PSC71026.1	scaffold20.g7666.t1
OG0005046	PSC71112.1	scaffold20.g7669.t1
OG0005047	PSC73596.1	scaffold20.g7671.t1
OG0005048	PSC68873.1	scaffold20.g7673.t1
OG0005049	PSC71129.1	scaffold20.g7675.t1
OG0005050	PSC71200.1	scaffold20.g7677.t1
OG0005051	PSC71149.1	scaffold20.g7682.t1
OG0005052	PSC71209.1	scaffold20.g7683.t1
OG0005053	PSC71140.1	scaffold20.g7684.t1
OG0005054	PSC71191.1	scaffold20.g7686.t1
OG0005055	PSC71173.1	scaffold20.g7687.t1
OG0005056	PSC71006.1	scaffold20.g7688.t1
OG0005057	PSC72036.1	scaffold20.g7690.t1
OG0005058	PSC71029.1	scaffold20.g7691.t1
OG0005059	PSC71007.1	scaffold20.g7692.t1
OG0005060	PSC71103.1	scaffold20.g7693.t1
OG0005061	PSC72346.1	scaffold20.g7701.t1
OG0005062	PSC72331.1	scaffold20.g7702.t1
OG0005063	PSC72249.1	scaffold20.g7703.t1
OG0005064	PSC72328.1	scaffold20.g7705.t1
OG0005065	PSC72193.1	scaffold20.g7706.t1
OG0005066	PSC72344.1, PSC72081.1	scaffold20.g7708.t1
OG0005067	PSC75910.1	scaffold20.g7709.t1
OG0005068	PSC72269.1	scaffold20.g7712.t1
OG0005069	PSC72273.1	scaffold20.g7713.t1
OG0005070	PSC72247.1	scaffold20.g7715.t1
OG0005071	PSC72199.1	scaffold20.g7716.t1
OG0005072	PSC72303.1	scaffold20.g7718.t1
OG0005073	PSC72196.1	scaffold20.g7719.t1
OG0005074	PSC72146.1	scaffold20.g7720.t1
OG0005075	PSC72129.1	scaffold20.g7723.t1
OG0005076	PSC72069.1	scaffold20.g7727.t1
OG0005077	PSC72268.1	scaffold20.g7728.t1
OG0005078	PSC72318.1	scaffold20.g7729.t1
OG0005079	PSC73215.1	scaffold20.g7730.t1
OG0005080	PSC70705.1	scaffold20.g7737.t1
OG0005081	PSC71197.1	scaffold20.g7741.t1
OG0005082	PSC70683.1	scaffold20.g7745.t1
OG0005083	PSC70686.1	scaffold20.g7746.t1
OG0005084	PSC71148.1	scaffold20.g7750.t1
OG0005085	PSC71184.1	scaffold20.g7752.t1
OG0005086	PSC76249.1, PSC76248.1	scaffold20.g7755.t1
OG0005087	PSC71046.1	scaffold20.g7761.t1
OG0005088	PSC71030.1	scaffold20.g7762.t1
OG0005090	PSC71114.1	scaffold20.g7768.t1
OG0005091	PSC72186.1, PSC72187.1	scaffold20.g7773.t1
OG0005092	PSC76616.1	scaffold20.g7779.t1
OG0005093	PSC69501.1	scaffold20.g7781.t1
OG0005094	PSC75174.1	scaffold20.g7785.t1
OG0005095	PSC70655.1	scaffold20.g7787.t1
OG0005096	PSC70723.1	scaffold20.g7789.t1
OG0005097	PSC70818.1	scaffold20.g7790.t1
OG0005098	PSC70724.1	scaffold20.g7792.t1
OG0005099	PSC70702.1	scaffold20.g7794.t1
OG0005100	PSC70775.1	scaffold20.g7797.t1
OG0005101	PSC70708.1	scaffold20.g7798.t1
OG0005102	PSC70743.1	scaffold20.g7799.t1
OG0005103	PSC69527.1	scaffold20.g7801.t1
OG0005104	PSC69532.1	scaffold20.g7802.t1
OG0005106	PSC74929.1	scaffold20.g7805.t1
OG0005107	PSC74927.1	scaffold20.g7806.t1
OG0005108	PSC71138.1	scaffold20.g7807.t1
OG0005109	PSC76021.1	scaffold20.g7811.t1
OG0005110	PSC70788.1	scaffold20.g7812.t1
OG0005111	PSC76775.1	scaffold20.g7813.t1
OG0005112	PSC70746.1	scaffold20.g7814.t1
OG0005113	PSC75171.1	scaffold20.g7815.t1
OG0005114	PSC69542.1	scaffold20.g7818.t1
OG0005115	PSC68941.1	scaffold20.g7820.t1
OG0005116	PSC70776.1	scaffold20.g7821.t1
OG0005117	PSC75271.1	scaffold20.g7823.t1
OG0005118	PSC74872.1	scaffold20.g7826.t1
OG0005119	PSC76465.1	scaffold20.g7828.t1
OG0005120	PSC70730.1	scaffold20.g7831.t1
OG0005121	PSC70664.1	scaffold20.g7832.t1
OG0005122	PSC70815.1	scaffold20.g7833.t1
OG0005123	PSC70732.1	scaffold20.g7837.t1
OG0005124	PSC70670.1	scaffold20.g7838.t1
OG0005125	PSC70822.1	scaffold20.g7842.t1
OG0005126	PSC70715.1	scaffold20.g7843.t1
OG0005127	PSC69477.1	scaffold20.g7848.t1
OG0005128	PSC69529.1	scaffold20.g7849.t1
OG0005129	PSC70804.1	scaffold20.g7855.t1
OG0005130	PSC76386.1	scaffold20.g7857.t1
OG0005131	PSC74479.1	scaffold20.g7859.t1
OG0005132	PSC70717.1	scaffold20.g7861.t1
OG0005133	PSC75055.1	scaffold20.g7866.t1
OG0005134	PSC67134.1	scaffold20.g7868.t1
OG0005135	PSC72258.1	scaffold20.g7872.t1
OG0005136	PSC72212.1	scaffold20.g7873.t1
OG0005137	PSC70745.1	scaffold20.g7878.t1
OG0005138	PSC70814.1	scaffold20.g7879.t1
OG0005139	PSC70752.1	scaffold20.g7881.t1
OG0005140	PSC70826.1	scaffold20.g7883.t1
OG0005141	PSC70755.1	scaffold20.g7885.t1
OG0005142	PSC70682.1	scaffold20.g7887.t1
OG0005143	PSC70671.1	scaffold20.g7888.t1
OG0005144	PSC70653.1	scaffold20.g7889.t1
OG0005145	PSC70729.1	scaffold20.g7891.t1
OG0005146	PSC70735.1	scaffold20.g7892.t1
OG0005147	PSC70748.1	scaffold20.g7896.t1
OG0005148	PSC70710.1	scaffold20.g7898.t1
OG0005149	PSC70661.1	scaffold20.g7899.t1
