Orthogroup	m_conductrix_genome_proteins	c_sorokiniana_genome_proteins
OG0005344	PSC74690.1	PRW55989.1, PRW33636.1
OG0005345	PSC67381.1	PRW33747.1
OG0005347	PSC69412.1	PRW33904.1
OG0005348	PSC75873.1	PRW50999.1
OG0005349	PSC72051.1	PRW39076.1, PRW39075.1
OG0005350	PSC67609.1, PSC67608.1	PRW39100.1
OG0005351	PSC71991.1	PRW39129.1, PRW39339.1
OG0005352	PSC73281.1, PSC73230.1	PRW39201.1
OG0005353	PSC71868.1	PRW39208.1
OG0005354	PSC67843.1	PRW39224.1
OG0005355	PSC67658.1, PSC67659.1	PRW39285.1
OG0005358	PSC71965.1	PRW39387.1, PRW39388.1
OG0005359	PSC75496.1, PSC75497.1	PRW44309.1
OG0005360	PSC70952.1, PSC76564.1	PRW44348.1
OG0005361	PSC70907.1	PRW44378.1, PRW44377.1
OG0005363	PSC75327.1	PRW44404.1, PRW44403.1
OG0005364	PSC69852.1	PRW44483.1, PRW61581.1
OG0005365	PSC75618.1	PRW44580.1
OG0005366	PSC70901.1	PRW44627.1
OG0005367	PSC73436.1	PRW44855.1, PRW44854.1, PRW44856.1
OG0005368	PSC71551.1	PRW44908.1, PRW44909.1
OG0005369	PSC70483.1	PRW44963.1, PRW44964.1
OG0005370	PSC70441.1	PRW44972.1
OG0005371	PSC70428.1	PRW45007.1, PRW45006.1
OG0005372	PSC73427.1	PRW45061.1, PRW45060.1
OG0005373	PSC70918.1	PRW45103.1
OG0005374	PSC70345.1	PRW45180.1, PRW45124.1
OG0005376	PSC67743.1	PRW56923.1, PRW45166.1
OG0005378	PSC73833.1, PSC73834.1	PRW45324.1
OG0005379	PSC68185.1, PSC68186.1	PRW45373.1
OG0005380	PSC74227.1	PRW45375.1
OG0005381	PSC68955.1	PRW45492.1
OG0005383	PSC73886.1	PRW45584.1, PRW61201.1
OG0005384	PSC72382.1, PSC72472.1	PRW45663.1
OG0005385	PSC73588.1	PRW45700.1, PRW45699.1
OG0005386	PSC67772.1	PRW45704.1
OG0005387	PSC69112.1	PRW45714.1
OG0005388	PSC75965.1, PSC75964.1	PRW50807.1
OG0005389	PSC77065.1	PRW50846.1, PRW50845.1
OG0005390	PSC75291.1	PRW50873.1, PRW50874.1
OG0005391	PSC75977.1	PRW51109.1, PRW50875.1
OG0005392	PSC70102.1, PSC68511.1	PRW51105.1, PRW51104.1
OG0005393	PSC75270.1, PSC75269.1	PRW51115.1
OG0005396	PSC73607.1	PRW51155.1
OG0005397	PSC69047.1	PRW56045.1, PRW56044.1
OG0005398	PSC71464.1	PRW56087.1, PRW57242.1
OG0005399	PSC69081.1, PSC69080.1	PRW56095.1
OG0005400	PSC73579.1	PRW59106.1, PRW56190.1
OG0005401	PSC72647.1	PRW56273.1, PRW56274.1
OG0005402	PSC71510.1	PRW56323.1
OG0005403	PSC68544.1	PRW56339.1
OG0005404	PSC72575.1	PRW56391.1, PRW56390.1
OG0005405	PSC68105.1	PRW56471.1, PRW56472.1
OG0005406	PSC71558.1, PSC71552.1	PRW56484.1
OG0005407	PSC72391.1, PSC71515.1	PRW56512.1
OG0005408	PSC69777.1	PRW56548.1
OG0005409	PSC72400.1	PRW56551.1
OG0005410	PSC72512.1	PRW56587.1
OG0005411	PSC76118.1, PSC76117.1	PRW56589.1
OG0005412	PSC72397.1	PRW56732.1
OG0005414	PSC72571.1, PSC72570.1	PRW56805.1
OG0005415	PSC72507.1, PSC72506.1	PRW56883.1
OG0005416	PSC72314.1, PSC76935.1	PRW56918.1
OG0005417	PSC72159.1, PSC72158.1	PRW56942.1
OG0005418	PSC70665.1	PRW57096.1, PRW57012.1
OG0005419	PSC72147.1	PRW57016.1, PRW57015.1
OG0005420	PSC72216.1	PRW57203.1, PRW57204.1
OG0005421	PSC72342.1, PSC72343.1	PRW57224.1
OG0005422	PSC71101.1	PRW57274.1
OG0005423	PSC69516.1	PRW57287.1
OG0005424	PSC69518.1, PSC69517.1	PRW57309.1
OG0005425	PSC72224.1, PSC72223.1	PRW57342.1
OG0005427	PSC74944.1, PSC74945.1	PRW57628.1, PRW57679.1
OG0005428	PSC73016.1	PRW57712.1, PRW57711.1
OG0005429	PSC73557.1, PSC73808.1	PRW57721.1
OG0005431	PSC75109.1	PRW57815.1
OG0005432	PSC73087.1	PRW57848.1
OG0005433	PSC73587.1, PSC73586.1	PRW57874.1
OG0005434	PSC73062.1, PSC73063.1	PRW57948.1
OG0005435	PSC69143.1	PRW58023.1, PRW58022.1
OG0005436	PSC73552.1	PRW58124.1, PRW58125.1
OG0005437	PSC71787.1	PRW58135.1
OG0005438	PSC76984.1	PRW58192.1, PRW58191.1
OG0005439	PSC68903.1	PRW58360.1
OG0005440	PSC68880.1, PSC68882.1, PSC68883.1	PRW58379.1
OG0005441	PSC67055.1, PSC68817.1	PRW58465.1
OG0005443	PSC68262.1, PSC76787.1	PRW58602.1
OG0005444	PSC75878.1	PRW60197.1, PRW58612.1
OG0005445	PSC75491.1	PRW58616.1, PRW58617.1
OG0005446	PSC68614.1	PRW58660.1
OG0005448	PSC75323.1, PSC75322.1	PRW58851.1
OG0005449	PSC75092.1	PRW61356.1, PRW60957.1, PRW59249.1
OG0005450	PSC75417.1, PSC75418.1	PRW59282.1
OG0005451	PSC73355.1	PRW59306.1
OG0005452	PSC67157.1	PRW59398.1
OG0005454	PSC69688.1	PRW59587.1
OG0005455	PSC76722.1, PSC76721.1	PRW59633.1
OG0005456	PSC76665.1, PSC76666.1	PRW59659.1
OG0005457	PSC76109.1, PSC76110.1	PRW60002.1
OG0005458	PSC71934.1, PSC72000.1	PRW60035.1
OG0005459	PSC68915.1	PRW60241.1
OG0005460	PSC68429.1	PRW60246.1, PRW60550.1
OG0005461	PSC75104.1	PRW60287.1, PRW60288.1
OG0005463	PSC67509.1, PSC67507.1, PSC67508.1	PRW60360.1
OG0005464	PSC68531.1	PRW60374.1, PRW60555.1
OG0005465	PSC68547.1	PRW60477.1, PRW60478.1
OG0005466	PSC75883.1	PRW60490.1
OG0005467	PSC68171.1, PSC68172.1	PRW60515.1
OG0005468	PSC67550.1, PSC67551.1	PRW60595.1
OG0005469	PSC67148.1, PSC68717.1	PRW60629.1
OG0005470	PSC68425.1	PRW60689.1
OG0005471	PSC74209.1	PRW60769.1, PRW60744.1
OG0005472	PSC68513.1	PRW60762.1, PRW60761.1
OG0005473	PSC75100.1, PSC75101.1	PRW60799.1
OG0005474	PSC67150.1, PSC68661.1	PRW60843.1
OG0005475	PSC67321.1, PSC67320.1, PSC67322.1	PRW60857.1
OG0005476	PSC73501.1, PSC73500.1	PRW60915.1
OG0005477	PSC71253.1, PSC71255.1, PSC71254.1, PSC71252.1	PRW60945.1
OG0005478	PSC73365.1, PSC73366.1	PRW60946.1
OG0005479	PSC73395.1	PRW60950.1
OG0005480	PSC68922.1	PRW60979.1
OG0005482	PSC74012.1	PRW61064.1, PRW61545.1
OG0005483	PSC74263.1, PSC75666.1	PRW61096.1
OG0005484	PSC74764.1	PRW61577.1, PRW61104.1
OG0005485	PSC75746.1	PRW61552.1, PRW61107.1, PRW61108.1
OG0005486	PSC74155.1, PSC74154.1	PRW61255.1
OG0005487	PSC75071.1, PSC75072.1	PRW61318.1
OG0005488	PSC74061.1	PRW61340.1
OG0005489	PSC74783.1, PSC74782.1	PRW61358.1
OG0005490	PSC74790.1	PRW61372.1
OG0005491	PSC74051.1	PRW61443.1, PRW61444.1
OG0005492	PSC74265.1	PRW61475.1, PRW61564.1
OG0005494	PSC74078.1, PSC74079.1	PRW61568.1
OG0005495	PSC73542.1, PSC73543.1	PRW61579.1
OG0005496	PSC74005.1	PRW61624.1
OG0005531	PSC69402.1	PRW45692.1
OG0005532	PSC69393.1	PRW45566.1
OG0005533	PSC69360.1	PRW45390.1
OG0005534	PSC72465.1	PRW45491.1
OG0005540	PSC75020.1	PRW33723.1
OG0005544	PSC68945.1	PRW45657.1
OG0005547	PSC74878.1	PRW33575.1
OG0005548	PSC74971.1	PRW33562.1
OG0005549	PSC67370.1	PRW33690.1
OG0005551	PSC74922.1	PRW33635.1
OG0005552	PSC74876.1	PRW33650.1
OG0005553	PSC74919.1	PRW33677.1
OG0005554	PSC74830.1	PRW33595.1
OG0005558	PSC70296.1	PRW33886.1
OG0005563	PSC72941.1	PRW32869.1
OG0005565	PSC74240.1	PRW61041.1
OG0005569	PSC67306.1	PRW20257.1
OG0005570	PSC71410.1	PRW20219.1
OG0005572	PSC75007.1	PRW32831.1
OG0005574	PSC75864.1	PRW50955.1
OG0005575	PSC70132.1	PRW20473.1
OG0005576	PSC68972.1, PSC72056.1	PRW44366.1
OG0005581	PSC68004.1	PRW20549.1
OG0005583	PSC67975.1	PRW20489.1
OG0005587	PSC70271.1	PRW20502.1
OG0005588	PSC70266.1	PRW20590.1
OG0005595	PSC69268.1	PRW33261.1
OG0005597	PSC73715.1	PRW33259.1
OG0005598	PSC73350.1	PRW39282.1
OG0005599	PSC73811.1	PRW33183.1
OG0005600	PSC68654.1	PRW33143.1
OG0005601	PSC73516.1	PRW39158.1
OG0005605	PSC67946.1	PRW59038.1
OG0005608	PSC76923.1	PRW58807.1
OG0005609	PSC67249.1	PRW39292.1
OG0005613	PSC70493.1	PRW60913.1
OG0005614	PSC76100.1	PRW59044.1
OG0005615	PSC76476.1	PRW59061.1
OG0005617	PSC76537.1	PRW58881.1
OG0005620	PSC73541.1	PRW33121.1
OG0005622	PSC75778.1	PRW59175.1
OG0005626	PSC73418.1	PRW59334.1
OG0005630	PSC70623.1	PRW61013.1
OG0005631	PSC76660.1	PRW58752.1
OG0005632	PSC76683.1	PRW59028.1
OG0005633	PSC71385.1	PRW56694.1, PRW56566.1
OG0005636	PSC73497.1	PRW61461.1
OG0005638	PSC67993.1	PRW59374.1
OG0005639	PSC67992.1	PRW59298.1
OG0005642	PSC67997.1	PRW59188.1
OG0005653	PSC76158.1	PRW20500.1
OG0005657	PSC68749.1	PRW32902.1
OG0005659	PSC75872.1	PRW50791.1
OG0005660	PSC75493.1	PRW50782.1
OG0005661	PSC76244.1	PRW60176.1
OG0005662	PSC76227.1	PRW51145.1
OG0005666	PSC70680.1	PRW57405.1
OG0005674	PSC73818.1	PRW50910.1
OG0005685	PSC71523.1	PRW56219.1
OG0005687	PSC73504.1	PRW59018.1
OG0005688	PSC67453.1	PRW55923.1
OG0005690	PSC72861.1	PRW18363.1
OG0005691	PSC72680.1	PRW18415.1
OG0005692	PSC72614.1	PRW18412.1
OG0005694	PSC72882.1	PRW18328.1
OG0005697	PSC72935.1	PRW18321.1
OG0005699	PSC74708.1	PRW20729.1
OG0005702	PSC76208.1	PRW32606.1
OG0005703	PSC67278.1	PRW61398.1
OG0005704	PSC74412.1	PRW20625.1
OG0005713	PSC74420.1, PSC74419.1	PRW20768.1
OG0005715	PSC69549.1	PRW57477.1
OG0005718	PSC69562.1	PRW20847.1
OG0005719	PSC69524.1	PRW20941.1
OG0005723	PSC74979.1	PRW20799.1
OG0005726	PSC72461.1	PRW56822.1
OG0005729	PSC72800.1	PRW56429.1
OG0005730	PSC72629.1	PRW56759.1
OG0005731	PSC75800.1	PRW05821.1
OG0005739	PSC72554.1	PRW56488.1
OG0005741	PSC72090.1	PRW57140.1
OG0005748	PSC67329.1	PRW45651.1
OG0005749	PSC72636.1	PRW55944.1
OG0005759	PSC71462.1	PRW56849.1
OG0005761	PSC71858.1	PRW39367.1
OG0005763	PSC71982.1	PRW39266.1
OG0005765	PSC71936.1	PRW39086.1
OG0005766	PSC75164.1	PRW60467.1
OG0005767	PSC67840.1	PRW39162.1
OG0005769	PSC67180.1	PRW39085.1
OG0005771	PSC67674.1	PRW39143.1
OG0005772	PSC67647.1	PRW39240.1
OG0005774	PSC67259.1	PRW39228.1
OG0005782	PSC75443.1	PRW44505.1
OG0005786	PSC68115.1	PRW56707.1
OG0005787	PSC68111.1	PRW56860.1
OG0005788	PSC68119.1	PRW56891.1
OG0005789	PSC69710.1	PRW56401.1
OG0005792	PSC72901.1	PRW56300.1
OG0005800	PSC69121.1	PRW39189.1
OG0005804	PSC72662.1	PRW56054.1
OG0005808	PSC70960.1	PRW44884.1
OG0005811	PSC73999.1	PRW61200.1
OG0005812	PSC72256.1	PRW57166.1
OG0005816	PSC71590.1	PRW56078.1
OG0005819	PSC70762.1	PRW57473.1
OG0005820	PSC69002.1	PRW56342.1
OG0005824	PSC67382.1	PRW33691.1
OG0005829	PSC70091.1	PRW33730.1
OG0005830	PSC75225.1	PRW60215.1
OG0005832	PSC75251.1	PRW45087.1
OG0005835	PSC73439.1	PRW61615.1
OG0005839	PSC75351.1	PRW44247.1
OG0005840	PSC75102.1	PRW60638.1
OG0005841	PSC75082.1	PRW60253.1
OG0005843	PSC74884.1	PRW60788.1
OG0005844	PSC75116.1	PRW60459.1
OG0005845	PSC75036.1	PRW60709.1
OG0005848	PSC75003.1	PRW60449.1
OG0005850	PSC68180.1	PRW60627.1
OG0005851	PSC68165.1	PRW60364.1
OG0005855	PSC74982.1	PRW60285.1
OG0005858	PSC73457.1	PRW61144.1
OG0005859	PSC74967.1	PRW60602.1
OG0005860	PSC68426.1	PRW60359.1
OG0005862	PSC68451.1	PRW60395.1
OG0005868	PSC67935.1	PRW60561.1
OG0005870	PSC68149.1	PRW60759.1
OG0005874	PSC74140.1	PRW60678.1
OG0005876	PSC74939.1	PRW60333.1
OG0005883	PSC74139.1	PRW60929.1
OG0005885	PSC67109.1	PRW05772.1
OG0005887	PSC67429.1	PRW33875.1
OG0005888	PSC67433.1	PRW34043.1
OG0005889	PSC67443.1	PRW33939.1
OG0005890	PSC67442.1	PRW33811.1
OG0005891	PSC67434.1	PRW33964.1
OG0005896	PSC76541.1	PRW33788.1
OG0005897	PSC73708.1	PRW45601.1
OG0005901	PSC74253.1	PRW18345.1
OG0005902	PSC72984.1	PRW58067.1
OG0005910	PSC72270.1	PRW57478.1
OG0005911	PSC73188.1	PRW57768.1
OG0005914	PSC73103.1	PRW57829.1
OG0005921	PSC76343.1	PRW32555.1
OG0005923	PSC67693.1	PRW20733.1
OG0005925	PSC68761.1	PRW20676.1
OG0005927	PSC74352.1	PRW60637.1
OG0005928	PSC68506.1	PRW60598.1
OG0005930	PSC67293.1	PRW61247.1
OG0005931	PSC73960.1	PRW60268.1
OG0005932	PSC69428.1	PRW60431.1
OG0005933	PSC69334.1	PRW60646.1
OG0005934	PSC67565.1	PRW60503.1
OG0005936	PSC68987.1	PRW60498.1
OG0005937	PSC68963.1	PRW60482.1
OG0005940	PSC74791.1	PRW20609.1
OG0005941	PSC75862.1	PRW51096.1
OG0005943	PSC74344.1	PRW60922.1
OG0005947	PSC67201.1	PRW20679.1
OG0005948	PSC68867.1	PRW20761.1
OG0005951	PSC71321.1	PRW58098.1
OG0005954	PSC67541.1	PRW61616.1
OG0005955	PSC74272.1	PRW60920.1
OG0005960	PSC70398.1	PRW44991.1
OG0005964	PSC70332.1	PRW44871.1
OG0005967	PSC70328.1	PRW45201.1
OG0005968	PSC70920.1	PRW45223.1
OG0005969	PSC70929.1	PRW44977.1
OG0005970	PSC75813.1	PRW45190.1
OG0005972	PSC67781.1	PRW45149.1
OG0005974	PSC69689.1	PRW59597.1
OG0005977	PSC71757.1	PRW21106.1
OG0005984	PSC73208.1	PRW59212.1
OG0005985	PSC76469.1	PRW58730.1
OG0005987	PSC73861.1	PRW58728.1
OG0005988	PSC69812.1	PRW56761.1
OG0005992	PSC76756.1	PRW57052.1
OG0005998	PSC71854.1	PRW59379.1
OG0005999	PSC71920.1	PRW58830.1
OG0006002	PSC70504.1	PRW59150.1
OG0006005	PSC76635.1	PRW58927.1
OG0006011	PSC68228.1	PRW57147.1
OG0006014	PSC72102.1	PRW56920.1
OG0006015	PSC70878.1	PRW44251.1
OG0006017	PSC74288.1	PRW61130.1
OG0006020	PSC70931.1	PRW44612.1
OG0006021	PSC70834.1	PRW58222.1
OG0006022	PSC69909.1	PRW44468.1
OG0006024	PSC76881.1	PRW32966.1
OG0006026	PSC69896.1	PRW44398.1
OG0006027	PSC70957.1	PRW44339.1
OG0006029	PSC69866.1	PRW44489.1
OG0006035	PSC69897.1	PRW44614.1
OG0006042	PSC73446.1	PRW61512.1
OG0006043	PSC69954.1	PRW44236.1
OG0006044	PSC69924.1	PRW44285.1
OG0006045	PSC70942.1	PRW44469.1
OG0006046	PSC70873.1	PRW44382.1
OG0006047	PSC72075.1	PRW57050.1
OG0006048	PSC69843.1	PRW44591.1
OG0006049	PSC76146.1	PRW59566.1
OG0006051	PSC73746.1	PRW59058.1
OG0006052	PSC69845.1	PRW44559.1
OG0006057	PSC68747.1	PRW20741.1
OG0006058	PSC68775.1	PRW20677.1
OG0006060	PSC69103.1	PRW57715.1
OG0006063	PSC67581.1	PRW39172.1
OG0006064	PSC73321.1	PRW39299.1
OG0006066	PSC68577.1	PRW58158.1
OG0006069	PSC68638.1	PRW58422.1
OG0006071	PSC75882.1	PRW58212.1
OG0006073	PSC75290.1	PRW58699.1
OG0006078	PSC67248.1	PRW58274.1
OG0006084	PSC75368.1	PRW58396.1
OG0006085	PSC75837.1	PRW58164.1
OG0006086	PSC75330.1	PRW58512.1
OG0006095	PSC75105.1	PRW58348.1
OG0006096	PSC74831.1	PRW58692.1
OG0006099	PSC68295.1	PRW58177.1
OG0006100	PSC68248.1	PRW58682.1
OG0006101	PSC68569.1	PRW45731.1
OG0006103	PSC73795.1	PRW58223.1
OG0006104	PSC76302.1	PRW58492.1
OG0006106	PSC77021.1, PSC73681.1	PRW58474.1
OG0006110	PSC73647.1	PRW57276.1
OG0006112	PSC76846.1	PRW58488.1
OG0006113	PSC76719.1	PRW58077.1
OG0006114	PSC76591.1	PRW58518.1
OG0006116	PSC76862.1	PRW58300.1
OG0006118	PSC77033.1	PRW58606.1
OG0006121	PSC73626.1	PRW58186.1
OG0006131	PSC68678.1	PRW32511.1
OG0006136	PSC76437.1	PRW58472.1
OG0006139	PSC73689.1	PRW45674.1
OG0006140	PSC74367.1	PRW20692.1
OG0006141	PSC74961.1	PRW20464.1
OG0006144	PSC69311.1	PRW45355.1
OG0006146	PSC72427.1	PRW45432.1
OG0006148	PSC70025.1	PRW33611.1
OG0006151	PSC74350.1	PRW61194.1
OG0006152	PSC73996.1	PRW61402.1
OG0006153	PSC74110.1	PRW61291.1
OG0006156	PSC75771.1	PRW44342.1
OG0006161	PSC72528.1	PRW56444.1
OG0006170	PSC72560.1	PRW56408.1
OG0006171	PSC69580.1	PRW59733.1
OG0006173	PSC69579.1	PRW60110.1
OG0006174	PSC72611.1	PRW59819.1
OG0006175	PSC72860.1	PRW59679.1
OG0006177	PSC71288.1	PRW18333.1
OG0006178	PSC71266.1	PRW18352.1
OG0006179	PSC69645.1	PRW59696.1
OG0006182	PSC69609.1	PRW60183.1
OG0006184	PSC68376.1	PRW59784.1
OG0006185	PSC68358.1	PRW59726.1
OG0006187	PSC68390.1	PRW59876.1
OG0006188	PSC68312.1	PRW60109.1
OG0006189	PSC68350.1	PRW59708.1
OG0006194	PSC71402.1	PRW59862.1
OG0006195	PSC71294.1	PRW59609.1
OG0006197	PSC71406.1	PRW59835.1
OG0006199	PSC71434.1	PRW59555.1
OG0006200	PSC70531.1	PRW61363.1
OG0006201	PSC68313.1	PRW59787.1
OG0006205	PSC76311.1	PRW59602.1
OG0006206	PSC69814.1	PRW56436.1
OG0006207	PSC71063.1	PRW59608.1
OG0006220	PSC76696.1	PRW60106.1
OG0006222	PSC74356.1	PRW61127.1
OG0006223	PSC72766.1	PRW56531.1
OG0006225	PSC73035.1	PRW59513.1
OG0006230	PSC67808.1	PRW59775.1
OG0006231	PSC73075.1	PRW59616.1
OG0006234	PSC73312.1	PRW61322.1
OG0006235	PSC73383.1	PRW61260.1
OG0006238	PSC74264.1	PRW61612.1
OG0006243	PSC74276.1	PRW61093.1
OG0006245	PSC72200.1	PRW57292.1
OG0006246	PSC74327.1	PRW60926.1
OG0006248	PSC69550.1	PRW57280.1
OG0006255	PSC74310.1	PRW61625.1
OG0006259	PSC73994.1	PRW61381.1
OG0006263	PSC72818.1	PRW56514.1
OG0006265	PSC74052.1	PRW60959.1
OG0006266	PSC68031.1	PRW05944.1
OG0006268	PSC75255.1	PRW50891.1
OG0006270	PSC67141.1	PRW05904.1
OG0006271	PSC75275.1	PRW50960.1
OG0006272	PSC68526.1	PRW60546.1
OG0006279	PSC71814.1	PRW21011.1
OG0006282	PSC71735.1	PRW20192.1
OG0006283	PSC72002.1	PRW33986.1
OG0006284	PSC77015.1	PRW33012.1
OG0006285	PSC76761.1, PSC76760.1	PRW32960.1
OG0006286	PSC76637.1	PRW33029.1
OG0006290	PSC73162.1	PRW45546.1
OG0006295	PSC76558.1	PRW32925.1
OG0006297	PSC76192.1	PRW33062.1
OG0006299	PSC70657.1	PRW57221.1
OG0006302	PSC70302.1	PRW45123.1
OG0006303	PSC70386.1	PRW45200.1
OG0006306	PSC67913.1	PRW61417.1
OG0006307	PSC68045.1	PRW45071.1
OG0006308	PSC67741.1	PRW45038.1
OG0006311	PSC68017.1	PRW33919.1
OG0006313	PSC73826.1	PRW45541.1
OG0006317	PSC70294.1	PRW33942.1
OG0006320	PSC70201.1	PRW34075.1
OG0006321	PSC70444.1	PRW45047.1
OG0006326	PSC71094.1	PRW57020.1
OG0006327	PSC71130.1	PRW57530.1
OG0006328	PSC71169.1	PRW57347.1
OG0006330	PSC76627.1	PRW59277.1
OG0006331	PSC71120.1	PRW57535.1
OG0006332	PSC71086.1	PRW57222.1
OG0006335	PSC72124.1	PRW57453.1
OG0006336	PSC74197.1	PRW21002.1
OG0006343	PSC69564.1	PRW57542.1
OG0006345	PSC70753.1	PRW57482.1
OG0006347	PSC70751.1	PRW57338.1
OG0006349	PSC70690.1	PRW57193.1
OG0006350	PSC70652.1	PRW57073.1
OG0006352	PSC70466.1	PRW44925.1
OG0006355	PSC73780.1	PRW57816.1
OG0006364	PSC70263.1	PRW33846.1
OG0006365	PSC70213.1	PRW33778.1
OG0006367	PSC70145.1	PRW33793.1
OG0006371	PSC74573.1	PRW55932.1
OG0006376	PSC74432.1	PRW20377.1
OG0006378	PSC74549.1	PRW20401.1
OG0006380	PSC74482.1	PRW20410.1
OG0006381	PSC74686.1	PRW20337.1
OG0006382	PSC71872.1	PRW05780.1
OG0006383	PSC69285.1, PSC69284.1	PRW05804.1, PRW60129.1
OG0006384	PSC75306.1	PRW05819.1
OG0006385	PSC69757.1	PRW05824.1
OG0006386	PSC69723.1	PRW05847.1
OG0006387	PSC69782.1, PSC69819.1	PRW05864.1
OG0006388	PSC75575.1	PRW05876.1
OG0006389	PSC68483.1, PSC68484.1	PRW05887.1
OG0006390	PSC68418.1	PRW05907.1, PRW05908.1
OG0006391	PSC68014.1	PRW05919.1, PRW05918.1
OG0006392	PSC67183.1	PRW05935.1
OG0006393	PSC72702.1	PRW18299.1
OG0006394	PSC72750.1	PRW18310.1
OG0006395	PSC72685.1	PRW18350.1
OG0006396	PSC72873.1	PRW18358.1
OG0006397	PSC72832.1	PRW18362.1
OG0006398	PSC73341.1	PRW18377.1
OG0006399	PSC72881.1	PRW18378.1
OG0006400	PSC72618.1, PSC72658.1, PSC73729.1	PRW18385.1
OG0006401	PSC72859.1	PRW18407.1
OG0006402	PSC72749.1	PRW18408.1
OG0006403	PSC67906.1	PRW20176.1
OG0006404	PSC70734.1	PRW20193.1
OG0006405	PSC70813.1	PRW20231.1
OG0006406	PSC70673.1	PRW20240.1
OG0006407	PSC68815.1, PSC68814.1	PRW20254.1
OG0006409	PSC70779.1	PRW20293.1
OG0006410	PSC74707.1	PRW20346.1
OG0006411	PSC74417.1	PRW20364.1
OG0006412	PSC72788.1, PSC76830.1, PSC76829.1	PRW20379.1
OG0006413	PSC74651.1	PRW20386.1
OG0006415	PSC71568.1	PRW20413.1
OG0006416	PSC74610.1	PRW20435.1, PRW20434.1, PRW20436.1
OG0006417	PSC70229.1	PRW20444.1
OG0006418	PSC70235.1	PRW20445.1
OG0006419	PSC69998.1	PRW20448.1
OG0006420	PSC69171.1	PRW20451.1
OG0006421	PSC70301.1, PSC70477.1	PRW20456.1
OG0006422	PSC70007.1	PRW20460.1
OG0006423	PSC68108.1	PRW20476.1
OG0006425	PSC70124.1	PRW20501.1
OG0006426	PSC69117.1	PRW20529.1
OG0006427	PSC70275.1	PRW20560.1
OG0006429	PSC67978.1	PRW20591.1
OG0006430	PSC69639.1	PRW20605.1
OG0006431	PSC69624.1	PRW20653.1
OG0006432	PSC71785.1	PRW20662.1
OG0006433	PSC76684.1, PSC76685.1	PRW20708.1
OG0006434	PSC67205.1	PRW20732.1
OG0006435	PSC69627.1	PRW20738.1
OG0006436	PSC68777.1	PRW20745.1
OG0006437	PSC71760.1	PRW20767.1
OG0006439	PSC75204.1	PRW20835.1
OG0006441	PSC73128.1	PRW20854.1
OG0006442	PSC69566.1	PRW20862.1
OG0006443	PSC69487.1	PRW20863.1
OG0006445	PSC76712.1	PRW20903.1
OG0006446	PSC76569.1	PRW20913.1
OG0006447	PSC76193.1	PRW20914.1
OG0006449	PSC74921.1	PRW20931.1
OG0006450	PSC76547.1	PRW20954.1
OG0006451	PSC69567.1	PRW20957.1
OG0006452	PSC71783.1	PRW20970.1
OG0006453	PSC71720.1	PRW20984.1
OG0006454	PSC71690.1	PRW20985.1
OG0006455	PSC71683.1	PRW20994.1
OG0006456	PSC71827.1	PRW21012.1
OG0006457	PSC71739.1	PRW21017.1
OG0006458	PSC71821.1	PRW21019.1
OG0006459	PSC71837.1, PSC71838.1	PRW21023.1
OG0006460	PSC71741.1	PRW21036.1, PRW21035.1
OG0006461	PSC71810.1, PSC71771.1	PRW21044.1
OG0006462	PSC70741.1	PRW21063.1
OG0006463	PSC73223.1	PRW21075.1, PRW45065.1
OG0006464	PSC71680.1	PRW21087.1
OG0006465	PSC71671.1	PRW21089.1
OG0006466	PSC71721.1	PRW21101.1
OG0006467	PSC71793.1	PRW21109.1
OG0006469	PSC71687.1	PRW21116.1
OG0006470	PSC71804.1	PRW21143.1
OG0006471	PSC71754.1	PRW21144.1
OG0006473	PSC75846.1	PRW32517.1
OG0006474	PSC76048.1	PRW32535.1
OG0006477	PSC73401.1	PRW32561.1
OG0006478	PSC68680.1	PRW32566.1
OG0006479	PSC73084.1	PRW32573.1
OG0006480	PSC76331.1	PRW32596.1
OG0006481	PSC75678.1	PRW32610.1
OG0006482	PSC75387.1	PRW32620.1
OG0006484	PSC68664.1	PRW32670.1
OG0006485	PSC76402.1	PRW32674.1
OG0006486	PSC76791.1	PRW32677.1
OG0006487	PSC73170.1	PRW32678.1
OG0006489	PSC74847.1, PSC75130.1	PRW32838.1
OG0006490	PSC73119.1	PRW32858.1
OG0006491	PSC76064.1	PRW32882.1
OG0006492	PSC69091.1	PRW32885.1
OG0006494	PSC71365.1	PRW32924.1
OG0006495	PSC76359.1	PRW32939.1
OG0006496	PSC67168.1	PRW32944.1
OG0006497	PSC72962.1	PRW32981.1
OG0006498	PSC77058.1	PRW33018.1
OG0006499	PSC77064.1, PSC71225.1	PRW33069.1
OG0006500	PSC73011.1	PRW33079.1
OG0006503	PSC71263.1	PRW33138.1
OG0006504	PSC69194.1	PRW33155.1
OG0006505	PSC71755.1	PRW33160.1
OG0006506	PSC68694.1	PRW33178.1
OG0006507	PSC69216.1	PRW33195.1
OG0006509	PSC69573.1	PRW33251.1
OG0006510	PSC69200.1, PSC69199.1	PRW33256.1
OG0006511	PSC71308.1	PRW33284.1
OG0006512	PSC69293.1	PRW33289.1
OG0006513	PSC69297.1	PRW33296.1
OG0006514	PSC68704.1	PRW33314.1
OG0006515	PSC69230.1	PRW33327.1
OG0006516	PSC68112.1	PRW33333.1
