Orthogroup	c_sorokiniana_genome_proteins	m_conductrix_genome_proteins
OG0004969	PRW45054.1, PRW45055.1	PSC68060.1
OG0004970	PRW44892.1	PSC68077.1
OG0004971	PRW45162.1	PSC68068.1
OG0004972	PRW44965.1	PSC68019.1
OG0004973	PRW33955.1	PSC68056.1
OG0004974	PRW44955.1	PSC68049.1
OG0004975	PRW45261.1	PSC68027.1
OG0004976	PRW44866.1	PSC68038.1
OG0004977	PRW34021.1	PSC70174.1
OG0004978	PRW33865.1	PSC70249.1
OG0004979	PRW33867.1	PSC70205.1
OG0004980	PRW45586.1	PSC67318.1
OG0004981	PRW58059.1	PSC75016.1
OG0004982	PRW61002.1	PSC74165.1
OG0004983	PRW33818.1	PSC70153.1
OG0004984	PRW34002.1	PSC70165.1
OG0004985	PRW33978.1	PSC70180.1
OG0004986	PRW34018.1	PSC70227.1
OG0004987	PRW33769.1	PSC70186.1
OG0004988	PRW33971.1	PSC70225.1
OG0004989	PRW33989.1	PSC70226.1
OG0004990	PRW33759.1	PSC70173.1
OG0004991	PRW33892.1	PSC70199.1
OG0004992	PRW33951.1	PSC70222.1
OG0004993	PRW33995.1	PSC70284.1
OG0004994	PRW45012.1	PSC67730.1
OG0004995	PRW33784.1	PSC67738.1
OG0004996	PRW34103.1	PSC67734.1
OG0004997	PRW33861.1	PSC70187.1
OG0004998	PRW60951.1	PSC74677.1
OG0004999	PRW44935.1	PSC70333.1
OG0005000	PRW45252.1	PSC70432.1
OG0005001	PRW45207.1	PSC70467.1
OG0005002	PRW59617.1	PSC69592.1
OG0005003	PRW44875.1	PSC70434.1
OG0005004	PRW45245.1	PSC70409.1
OG0005005	PRW44984.1	PSC70445.1
OG0005006	PRW45127.1	PSC70371.1
OG0005007	PRW45239.1	PSC70327.1
OG0005008	PRW45070.1	PSC70463.1
OG0005009	PRW44926.1	PSC70462.1
OG0005010	PRW45208.1	PSC70370.1
OG0005011	PRW44878.1	PSC70308.1
OG0005012	PRW45005.1	PSC70351.1
OG0005013	PRW44968.1	PSC70367.1
OG0005014	PRW45240.1	PSC70388.1
OG0005015	PRW45247.1	PSC70322.1
OG0005016	PRW44944.1	PSC70482.1
OG0005017	PRW45228.1	PSC70382.1
OG0005018	PRW45202.1	PSC70339.1
OG0005019	PRW44950.1	PSC70481.1
OG0005020	PRW44849.1	PSC70447.1
OG0005021	PRW44872.1	PSC67530.1
OG0005022	PRW57419.1	PSC72317.1
OG0005023	PRW57452.1	PSC71136.1
OG0005024	PRW57144.1	PSC71215.1
OG0005025	PRW57333.1	PSC71090.1
OG0005026	PRW57390.1	PSC71205.1
OG0005027	PRW57500.1	PSC71132.1
OG0005028	PRW57511.1	PSC71109.1
OG0005029	PRW56981.1	PSC71022.1
OG0005030	PRW57159.1	PSC71089.1
OG0005031	PRW57435.1	PSC71154.1
OG0005032	PRW56947.1	PSC71099.1
OG0005033	PRW57243.1	PSC71189.1
OG0005034	PRW57212.1	PSC71141.1
OG0005036	PRW56951.1	PSC71076.1
OG0005037	PRW56955.1	PSC71157.1
OG0005038	PRW57003.1	PSC71053.1
OG0005039	PRW57518.1	PSC71064.1
OG0005040	PRW57284.1	PSC71052.1
OG0005041	PRW57427.1	PSC71188.1
OG0005042	PRW57124.1	PSC71118.1
OG0005043	PRW57399.1	PSC71107.1
OG0005044	PRW56959.1	PSC71018.1
OG0005045	PRW57404.1	PSC71026.1
OG0005046	PRW57440.1	PSC71112.1
OG0005047	PRW33170.1	PSC73596.1
OG0005048	PRW58211.1	PSC68873.1
OG0005049	PRW57071.1	PSC71129.1
OG0005050	PRW57095.1	PSC71200.1
OG0005051	PRW57449.1	PSC71149.1
OG0005052	PRW57431.1	PSC71209.1
OG0005053	PRW57094.1	PSC71140.1
OG0005054	PRW57328.1	PSC71191.1
OG0005055	PRW57072.1	PSC71173.1
OG0005056	PRW57008.1	PSC71006.1
OG0005057	PRW61578.1	PSC72036.1
OG0005058	PRW57514.1	PSC71029.1
OG0005059	PRW56974.1	PSC71007.1
OG0005060	PRW57121.1	PSC71103.1
OG0005061	PRW56900.1	PSC72346.1
OG0005062	PRW57041.1	PSC72331.1
OG0005063	PRW57141.1	PSC72249.1
OG0005064	PRW57531.1	PSC72328.1
OG0005065	PRW56941.1	PSC72193.1
OG0005067	PRW44405.1	PSC75910.1
OG0005068	PRW57355.1	PSC72269.1
OG0005069	PRW57251.1	PSC72273.1
OG0005070	PRW57111.1	PSC72247.1
OG0005071	PRW57467.1	PSC72199.1
OG0005072	PRW57170.1	PSC72303.1
OG0005073	PRW57368.1	PSC72196.1
OG0005074	PRW57461.1	PSC72146.1
OG0005075	PRW57034.1	PSC72129.1
OG0005076	PRW57208.1	PSC72069.1
OG0005077	PRW57474.1	PSC72268.1
OG0005078	PRW57313.1	PSC72318.1
OG0005079	PRW61412.1	PSC73215.1
OG0005080	PRW57075.1	PSC70705.1
OG0005081	PRW57406.1	PSC71197.1
OG0005082	PRW57494.1	PSC70683.1
OG0005083	PRW57252.1	PSC70686.1
OG0005084	PRW56993.1	PSC71148.1
OG0005085	PRW57088.1	PSC71184.1
OG0005087	PRW57155.1	PSC71046.1
OG0005088	PRW57182.1	PSC71030.1
OG0005090	PRW57401.1	PSC71114.1
OG0005091	PRW57018.1	PSC72186.1, PSC72187.1
OG0005092	PRW59301.1	PSC76616.1
OG0005093	PRW20814.1	PSC69501.1
OG0005094	PRW20947.1	PSC75174.1
OG0005095	PRW57118.1	PSC70655.1
OG0005096	PRW57340.1	PSC70723.1
OG0005097	PRW56999.1	PSC70818.1
OG0005098	PRW57402.1	PSC70724.1
OG0005099	PRW57197.1	PSC70702.1
OG0005100	PRW57086.1	PSC70775.1
OG0005101	PRW57377.1	PSC70708.1
OG0005102	PRW57228.1	PSC70743.1
OG0005103	PRW20785.1	PSC69527.1
OG0005104	PRW57084.1	PSC69532.1
OG0005106	PRW20898.1	PSC74929.1
OG0005107	PRW20867.1	PSC74927.1
OG0005108	PRW57395.1	PSC71138.1
OG0005109	PRW20953.1	PSC76021.1
OG0005110	PRW57164.1	PSC70788.1
OG0005111	PRW20800.1	PSC76775.1
OG0005112	PRW57286.1	PSC70746.1
OG0005113	PRW20787.1	PSC75171.1
OG0005114	PRW20801.1	PSC69542.1
OG0005115	PRW60328.1	PSC68941.1
OG0005116	PRW57487.1	PSC70776.1
OG0005117	PRW44438.1	PSC75271.1
OG0005118	PRW20781.1	PSC74872.1
OG0005119	PRW20911.1	PSC76465.1
OG0005120	PRW57131.1	PSC70730.1
OG0005121	PRW56928.1	PSC70664.1
OG0005122	PRW57098.1	PSC70815.1
OG0005123	PRW57236.1	PSC70732.1
OG0005124	PRW57433.1, PRW57432.1	PSC70670.1
OG0005125	PRW56897.1	PSC70822.1
OG0005126	PRW57257.1	PSC70715.1
OG0005127	PRW57033.1	PSC69477.1
OG0005128	PRW20869.1	PSC69529.1
OG0005129	PRW57218.1	PSC70804.1
OG0005130	PRW20876.1	PSC76386.1
OG0005131	PRW20834.1	PSC74479.1
OG0005132	PRW57128.1	PSC70717.1
OG0005133	PRW20890.1	PSC75055.1
OG0005134	PRW20951.1	PSC67134.1
OG0005135	PRW56980.1	PSC72258.1
OG0005136	PRW57044.1	PSC72212.1
OG0005137	PRW57238.1	PSC70745.1
OG0005138	PRW57102.1	PSC70814.1
OG0005139	PRW57074.1	PSC70752.1
OG0005140	PRW57114.1	PSC70826.1
OG0005141	PRW57519.1	PSC70755.1
OG0005142	PRW57185.1	PSC70682.1
OG0005143	PRW57486.1	PSC70671.1
OG0005144	PRW57043.1	PSC70653.1
OG0005145	PRW57523.1	PSC70729.1
OG0005146	PRW57137.1	PSC70735.1
OG0005147	PRW57070.1	PSC70748.1
OG0005148	PRW57247.1	PSC70710.1
OG0005149	PRW57244.1	PSC70661.1
OG0005150	PRW57697.1	PSC73920.1
OG0005151	PRW57622.1	PSC73819.1
OG0005152	PRW57630.1	PSC73802.1
OG0005153	PRW57962.1	PSC73536.1
OG0005154	PRW57634.1	PSC74546.1
OG0005155	PRW57959.1	PSC74556.1
OG0005156	PRW57968.1	PSC74445.1
OG0005157	PRW57810.1	PSC74750.1
OG0005158	PRW57641.1	PSC74492.1
OG0005159	PRW57580.1	PSC73650.1
OG0005160	PRW58063.1	PSC74388.1
OG0005161	PRW57564.1	PSC74626.1
OG0005162	PRW57900.1	PSC74379.1
OG0005163	PRW57658.1	PSC73909.1
OG0005164	PRW58039.1	PSC74543.1
OG0005165	PRW58010.1	PSC74664.1
OG0005166	PRW57636.1	PSC74737.1
OG0005167	PRW57938.1	PSC74574.1
OG0005168	PRW58017.1	PSC74381.1
OG0005169	PRW57738.1	PSC73747.1
OG0005170	PRW57644.1	PSC73589.1
OG0005171	PRW57617.1	PSC74413.1
OG0005172	PRW57569.1	PSC74629.1
OG0005173	PRW57851.1	PSC74758.1
OG0005174	PRW57832.1	PSC73622.1
OG0005175	PRW57884.1	PSC73641.1
OG0005176	PRW57618.1	PSC73935.1
OG0005177	PRW57812.1	PSC74368.1
OG0005178	PRW57937.1	PSC74644.1
OG0005179	PRW58057.1	PSC74599.1
OG0005180	PRW57666.1	PSC74739.1
OG0005181	PRW57750.1	PSC74383.1
OG0005182	PRW61602.1	PSC73520.1
OG0005183	PRW58036.1	PSC74442.1
OG0005184	PRW57804.1	PSC74382.1
OG0005185	PRW57736.1	PSC74554.1
OG0005186	PRW58003.1	PSC74498.1
OG0005187	PRW57885.1	PSC73753.1
OG0005188	PRW57560.1	PSC74515.1
OG0005189	PRW33858.1	PSC69332.1
OG0005190	PRW57794.1	PSC75152.1
OG0005191	PRW33894.1	PSC69433.1
OG0005192	PRW34066.1	PSC69437.1
OG0005193	PRW58018.1	PSC74845.1
OG0005194	PRW57572.1	PSC75123.1
OG0005195	PRW58014.1	PSC74868.1
OG0005196	PRW58045.1	PSC74861.1
OG0005197	PRW57903.1	PSC75087.1
OG0005198	PRW57597.1	PSC74408.1
OG0005199	PRW57615.1	PSC74362.1
OG0005200	PRW58028.1	PSC74563.1
OG0005201	PRW57722.1	PSC74785.1
OG0005202	PRW57657.1	PSC74780.1
OG0005203	PRW57807.1	PSC74788.1
OG0005204	PRW57862.1	PSC74375.1
OG0005205	PRW57687.1	PSC74547.1
OG0005206	PRW57581.1	PSC74698.1
OG0005207	PRW57837.1	PSC74499.1
OG0005208	PRW57638.1	PSC74789.1
OG0005209	PRW57995.1	PSC74516.1
OG0005210	PRW57584.1	PSC74642.1
OG0005211	PRW57710.1	PSC74434.1
OG0005212	PRW57904.1	PSC74514.1
OG0005213	PRW57918.1	PSC74391.1
OG0005214	PRW58051.1	PSC74665.1
OG0005215	PRW57665.1	PSC74504.1
OG0005216	PRW57681.1	PSC74587.1
OG0005217	PRW57552.1	PSC74590.1
OG0005218	PRW57751.1	PSC74710.1
OG0005219	PRW57645.1	PSC74685.1
OG0005220	PRW44519.1	PSC75757.1
OG0005221	PRW32963.1	PSC73116.1
OG0005222	PRW34096.1	PSC70161.1
OG0005223	PRW33795.1	PSC69340.1
OG0005224	PRW34045.1	PSC70282.1
OG0005225	PRW33825.1	PSC70270.1
OG0005226	PRW33917.1	PSC70285.1
OG0005227	PRW33888.1	PSC70193.1
OG0005228	PRW33766.1	PSC70299.1
OG0005229	PRW34007.1	PSC70218.1
OG0005230	PRW33855.1	PSC70214.1
OG0005231	PRW33794.1	PSC70202.1
OG0005232	PRW34033.1	PSC70215.1
OG0005233	PRW34041.1	PSC70250.1
OG0005234	PRW05759.1	PSC72012.1
OG0005235	PRW33847.1	PSC70272.1
OG0005236	PRW33927.1	PSC70158.1
OG0005237	PRW33798.1	PSC70170.1
OG0005238	PRW33941.1	PSC70276.1
OG0005239	PRW34012.1	PSC70198.1
OG0005240	PRW33871.1	PSC70244.1
OG0005241	PRW58019.1	PSC74999.1
OG0005242	PRW33824.1	PSC70298.1
OG0005243	PRW56069.1	PSC72703.1
OG0005244	PRW33773.1	PSC67757.1
OG0005245	PRW57762.1	PSC74823.1
OG0005246	PRW33899.1	PSC69341.1
OG0005247	PRW57798.1	PSC75079.1
OG0005248	PRW57997.1	PSC75162.1
OG0005249	PRW33822.1	PSC70230.1
OG0005250	PRW33920.1	PSC70211.1
OG0005251	PRW33823.1	PSC70181.1
OG0005252	PRW61527.1	PSC74778.1
OG0005253	PRW61046.1	PSC74670.1
OG0005254	PRW59868.1	PSC74585.1
OG0005255	PRW61196.1	PSC74637.1
OG0005256	PRW61084.1	PSC74738.1
OG0005257	PRW61530.1	PSC74648.1
OG0005258	PRW61453.1	PSC74600.1
OG0005259	PRW58111.1	PSC74603.1
OG0005260	PRW58637.1	PSC68625.1
OG0005261	PRW61441.1	PSC74431.1
OG0005262	PRW61230.1	PSC74363.1
OG0005263	PRW61166.1	PSC73484.1
OG0005264	PRW61256.1	PSC74653.1
OG0005265	PRW61012.1	PSC74183.1
OG0005266	PRW20420.1	PSC74646.1
OG0005267	PRW20400.1	PSC74465.1
OG0005269	PRW20433.1	PSC74491.1
OG0005270	PRW60978.1	PSC74742.1
OG0005271	PRW61605.1	PSC74765.1
OG0005272	PRW20391.1	PSC74784.1
OG0005273	PRW20419.1	PSC74560.1
OG0005274	PRW20367.1	PSC74579.1
OG0005276	PRW20338.1	PSC74703.1
OG0005277	PRW45449.1	PSC68572.1
OG0005278	PRW20323.1	PSC74641.1
OG0005279	PRW20371.1	PSC74709.1
OG0005280	PRW20417.1	PSC74470.1
OG0005282	PRW20421.1	PSC74730.1
OG0005283	PRW20427.1	PSC74749.1
OG0005284	PRW20333.1	PSC74589.1
OG0005285	PRW20347.1	PSC74663.1
OG0005286	PRW59024.1	PSC77022.1
OG0005287	PRW20330.1	PSC70009.1, PSC74800.1, PSC74801.1
OG0005288	PRW20318.1	PSC74728.1
OG0005289	PRW20336.1	PSC74694.1
OG0005290	PRW20359.1	PSC74525.1
OG0005291	PRW20378.1	PSC74657.1
OG0005292	PRW20390.1	PSC74410.1
OG0005293	PRW20350.1	PSC74643.1
OG0005294	PRW20348.1	PSC74359.1
OG0005295	PRW20426.1	PSC74671.1
OG0005296	PRW20352.1	PSC74437.1
OG0005297	PRW05787.1	PSC71986.1
OG0005299	PRW05850.1	PSC71719.1
OG0005300	PRW05870.1	PSC75334.1, PSC75333.1
OG0005301	PRW05881.1	PSC67785.1, PSC67786.1
OG0005302	PRW05903.1	PSC68412.1, PSC68413.1
OG0005303	PRW05922.1	PSC70228.1
OG0005304	PRW05948.1	PSC68036.1, PSC69514.1
OG0005305	PRW05951.1, PRW05952.1	PSC68028.1
OG0005306	PRW18332.1, PRW18305.1	PSC72878.1
OG0005307	PRW18344.1	PSC71429.1
OG0005308	PRW18409.1	PSC73526.1, PSC73212.1
OG0005309	PRW20273.1	PSC70803.1
OG0005310	PRW20189.1	PSC70820.1, PSC70721.1
OG0005311	PRW20201.1, PRW57947.1	PSC73034.1
OG0005312	PRW20220.1	PSC70739.1, PSC70740.1
OG0005313	PRW20267.1, PRW20266.1	PSC70736.1
OG0005314	PRW20280.1, PRW20281.1	PSC69647.1
OG0005315	PRW20319.1, PRW20320.1, PRW20321.1	PSC74633.1
OG0005316	PRW20385.1, PRW20384.1	PSC74469.1
OG0005317	PRW20504.1, PRW20505.1	PSC69109.1, PSC69108.1
OG0005318	PRW20581.1	PSC70297.1
OG0005319	PRW20608.1	PSC67219.1, PSC67220.1
OG0005320	PRW20635.1	PSC67225.1, PSC67226.1, PSC67223.1, PSC67224.1
OG0005321	PRW20754.1, PRW20663.1	PSC69629.1
OG0005322	PRW20805.1	PSC76640.1
OG0005323	PRW20838.1	PSC75183.1
OG0005324	PRW20882.1, PRW20939.1	PSC76780.1
OG0005325	PRW20980.1	PSC70164.1
OG0005326	PRW60526.1, PRW21037.1	PSC71699.1
OG0005327	PRW21105.1	PSC71797.1
OG0005328	PRW32502.1, PRW32503.1	PSC75369.1
OG0005329	PRW32543.1	PSC75601.1
OG0005330	PRW32577.1	PSC67796.1, PSC67795.1
OG0005331	PRW32618.1	PSC74601.1
OG0005332	PRW44351.1	PSC76955.1
OG0005333	PRW45353.1, PRW33101.1	PSC76604.1
OG0005334	PRW33112.1	PSC73801.1
OG0005336	PRW33131.1, PRW33130.1, PRW33587.1, PRW33268.1	PSC70341.1
OG0005337	PRW33161.1	PSC69214.1
OG0005339	PRW33248.1, PRW33249.1	PSC71330.1
OG0005340	PRW33267.1	PSC69295.1
OG0005341	PRW33309.1, PRW33308.1	PSC69277.1
OG0005342	PRW33513.1, PRW33514.1	PSC70034.1
OG0005343	PRW33567.1	PSC69997.1, PSC69996.1
OG0005344	PRW55989.1, PRW33636.1	PSC74690.1
OG0005345	PRW33747.1	PSC67381.1
OG0005347	PRW33904.1	PSC69412.1
OG0005348	PRW50999.1	PSC75873.1
OG0005349	PRW39076.1, PRW39075.1	PSC72051.1
OG0005350	PRW39100.1	PSC67609.1, PSC67608.1
OG0005351	PRW39129.1, PRW39339.1	PSC71991.1
OG0005352	PRW39201.1	PSC73281.1, PSC73230.1
OG0005353	PRW39208.1	PSC71868.1
OG0005354	PRW39224.1	PSC67843.1
OG0005355	PRW39285.1	PSC67658.1, PSC67659.1
OG0005358	PRW39387.1, PRW39388.1	PSC71965.1
OG0005359	PRW44309.1	PSC75496.1, PSC75497.1
OG0005360	PRW44348.1	PSC70952.1, PSC76564.1
OG0005361	PRW44378.1, PRW44377.1	PSC70907.1
OG0005363	PRW44404.1, PRW44403.1	PSC75327.1
OG0005364	PRW44483.1, PRW61581.1	PSC69852.1
OG0005365	PRW44580.1	PSC75618.1
OG0005366	PRW44627.1	PSC70901.1
OG0005367	PRW44855.1, PRW44854.1, PRW44856.1	PSC73436.1
OG0005368	PRW44908.1, PRW44909.1	PSC71551.1
OG0005369	PRW44963.1, PRW44964.1	PSC70483.1
OG0005370	PRW44972.1	PSC70441.1
OG0005371	PRW45007.1, PRW45006.1	PSC70428.1
OG0005372	PRW45061.1, PRW45060.1	PSC73427.1
OG0005373	PRW45103.1	PSC70918.1
OG0005374	PRW45180.1, PRW45124.1	PSC70345.1
OG0005376	PRW56923.1, PRW45166.1	PSC67743.1
OG0005378	PRW45324.1	PSC73833.1, PSC73834.1
OG0005379	PRW45373.1	PSC68185.1, PSC68186.1
OG0005380	PRW45375.1	PSC74227.1
OG0005381	PRW45492.1	PSC68955.1
OG0005383	PRW45584.1, PRW61201.1	PSC73886.1
OG0005384	PRW45663.1	PSC72382.1, PSC72472.1
OG0005385	PRW45700.1, PRW45699.1	PSC73588.1
OG0005386	PRW45704.1	PSC67772.1
OG0005387	PRW45714.1	PSC69112.1
OG0005388	PRW50807.1	PSC75965.1, PSC75964.1
OG0005389	PRW50846.1, PRW50845.1	PSC77065.1
OG0005390	PRW50873.1, PRW50874.1	PSC75291.1
OG0005391	PRW51109.1, PRW50875.1	PSC75977.1
OG0005392	PRW51105.1, PRW51104.1	PSC70102.1, PSC68511.1
OG0005393	PRW51115.1	PSC75270.1, PSC75269.1
OG0005396	PRW51155.1	PSC73607.1
OG0005397	PRW56045.1, PRW56044.1	PSC69047.1
OG0005398	PRW56087.1, PRW57242.1	PSC71464.1
OG0005399	PRW56095.1	PSC69081.1, PSC69080.1
OG0005400	PRW59106.1, PRW56190.1	PSC73579.1
OG0005401	PRW56273.1, PRW56274.1	PSC72647.1
OG0005402	PRW56323.1	PSC71510.1
OG0005403	PRW56339.1	PSC68544.1
OG0005404	PRW56391.1, PRW56390.1	PSC72575.1
OG0005405	PRW56471.1, PRW56472.1	PSC68105.1
OG0005406	PRW56484.1	PSC71558.1, PSC71552.1
OG0005407	PRW56512.1	PSC72391.1, PSC71515.1
OG0005408	PRW56548.1	PSC69777.1
OG0005409	PRW56551.1	PSC72400.1
OG0005410	PRW56587.1	PSC72512.1
OG0005411	PRW56589.1	PSC76118.1, PSC76117.1
OG0005412	PRW56732.1	PSC72397.1
OG0005414	PRW56805.1	PSC72571.1, PSC72570.1
OG0005415	PRW56883.1	PSC72507.1, PSC72506.1
OG0005416	PRW56918.1	PSC72314.1, PSC76935.1
OG0005417	PRW56942.1	PSC72159.1, PSC72158.1
OG0005418	PRW57096.1, PRW57012.1	PSC70665.1
OG0005419	PRW57016.1, PRW57015.1	PSC72147.1
OG0005420	PRW57203.1, PRW57204.1	PSC72216.1
OG0005421	PRW57224.1	PSC72342.1, PSC72343.1
OG0005422	PRW57274.1	PSC71101.1
OG0005423	PRW57287.1	PSC69516.1
OG0005424	PRW57309.1	PSC69518.1, PSC69517.1
OG0005425	PRW57342.1	PSC72224.1, PSC72223.1
OG0005427	PRW57628.1, PRW57679.1	PSC74944.1, PSC74945.1
OG0005428	PRW57712.1, PRW57711.1	PSC73016.1
OG0005429	PRW57721.1	PSC73557.1, PSC73808.1
OG0005431	PRW57815.1	PSC75109.1
OG0005432	PRW57848.1	PSC73087.1
OG0005433	PRW57874.1	PSC73587.1, PSC73586.1
OG0005434	PRW57948.1	PSC73062.1, PSC73063.1
OG0005435	PRW58023.1, PRW58022.1	PSC69143.1
OG0005436	PRW58124.1, PRW58125.1	PSC73552.1
OG0005437	PRW58135.1	PSC71787.1
OG0005438	PRW58192.1, PRW58191.1	PSC76984.1
OG0005439	PRW58360.1	PSC68903.1
OG0005440	PRW58379.1	PSC68880.1, PSC68882.1, PSC68883.1
OG0005441	PRW58465.1	PSC67055.1, PSC68817.1
OG0005443	PRW58602.1	PSC68262.1, PSC76787.1
OG0005444	PRW60197.1, PRW58612.1	PSC75878.1
OG0005445	PRW58616.1, PRW58617.1	PSC75491.1
OG0005446	PRW58660.1	PSC68614.1
OG0005448	PRW58851.1	PSC75323.1, PSC75322.1
OG0005449	PRW61356.1, PRW60957.1, PRW59249.1	PSC75092.1
OG0005450	PRW59282.1	PSC75417.1, PSC75418.1
OG0005451	PRW59306.1	PSC73355.1
OG0005452	PRW59398.1	PSC67157.1
OG0005454	PRW59587.1	PSC69688.1
OG0005455	PRW59633.1	PSC76722.1, PSC76721.1
OG0005456	PRW59659.1	PSC76665.1, PSC76666.1
OG0005457	PRW60002.1	PSC76109.1, PSC76110.1
OG0005458	PRW60035.1	PSC71934.1, PSC72000.1
OG0005459	PRW60241.1	PSC68915.1
OG0005460	PRW60246.1, PRW60550.1	PSC68429.1
OG0005461	PRW60287.1, PRW60288.1	PSC75104.1
OG0005463	PRW60360.1	PSC67509.1, PSC67507.1, PSC67508.1
OG0005464	PRW60374.1, PRW60555.1	PSC68531.1
OG0005465	PRW60477.1, PRW60478.1	PSC68547.1
OG0005466	PRW60490.1	PSC75883.1
OG0005467	PRW60515.1	PSC68171.1, PSC68172.1
OG0005468	PRW60595.1	PSC67550.1, PSC67551.1
OG0005469	PRW60629.1	PSC67148.1, PSC68717.1
OG0005470	PRW60689.1	PSC68425.1
OG0005471	PRW60769.1, PRW60744.1	PSC74209.1
OG0005472	PRW60762.1, PRW60761.1	PSC68513.1
OG0005473	PRW60799.1	PSC75100.1, PSC75101.1
OG0005474	PRW60843.1	PSC67150.1, PSC68661.1
OG0005475	PRW60857.1	PSC67321.1, PSC67320.1, PSC67322.1
OG0005476	PRW60915.1	PSC73501.1, PSC73500.1
OG0005477	PRW60945.1	PSC71253.1, PSC71255.1, PSC71254.1, PSC71252.1
OG0005478	PRW60946.1	PSC73365.1, PSC73366.1
OG0005479	PRW60950.1	PSC73395.1
OG0005480	PRW60979.1	PSC68922.1
OG0005482	PRW61064.1, PRW61545.1	PSC74012.1
OG0005483	PRW61096.1	PSC74263.1, PSC75666.1
OG0005484	PRW61577.1, PRW61104.1	PSC74764.1
OG0005485	PRW61552.1, PRW61107.1, PRW61108.1	PSC75746.1
OG0005486	PRW61255.1	PSC74155.1, PSC74154.1
OG0005487	PRW61318.1	PSC75071.1, PSC75072.1
OG0005488	PRW61340.1	PSC74061.1
OG0005489	PRW61358.1	PSC74783.1, PSC74782.1
OG0005490	PRW61372.1	PSC74790.1
OG0005491	PRW61443.1, PRW61444.1	PSC74051.1
OG0005492	PRW61475.1, PRW61564.1	PSC74265.1
OG0005494	PRW61568.1	PSC74078.1, PSC74079.1
OG0005495	PRW61579.1	PSC73542.1, PSC73543.1
OG0005496	PRW61624.1	PSC74005.1
OG0005531	PRW45692.1	PSC69402.1
OG0005532	PRW45566.1	PSC69393.1
OG0005533	PRW45390.1	PSC69360.1
OG0005534	PRW45491.1	PSC72465.1
OG0005540	PRW33723.1	PSC75020.1
OG0005544	PRW45657.1	PSC68945.1
OG0005547	PRW33575.1	PSC74878.1
OG0005548	PRW33562.1	PSC74971.1
OG0005549	PRW33690.1	PSC67370.1
OG0005551	PRW33635.1	PSC74922.1
OG0005552	PRW33650.1	PSC74876.1
OG0005553	PRW33677.1	PSC74919.1
OG0005554	PRW33595.1	PSC74830.1
OG0005558	PRW33886.1	PSC70296.1
OG0005563	PRW32869.1	PSC72941.1
OG0005565	PRW61041.1	PSC74240.1
OG0005569	PRW20257.1	PSC67306.1
OG0005570	PRW20219.1	PSC71410.1
OG0005572	PRW32831.1	PSC75007.1
OG0005574	PRW50955.1	PSC75864.1
OG0005575	PRW20473.1	PSC70132.1
OG0005576	PRW44366.1	PSC68972.1, PSC72056.1
OG0005581	PRW20549.1	PSC68004.1
OG0005583	PRW20489.1	PSC67975.1
OG0005587	PRW20502.1	PSC70271.1
OG0005588	PRW20590.1	PSC70266.1
OG0005595	PRW33261.1	PSC69268.1
OG0005597	PRW33259.1	PSC73715.1
OG0005598	PRW39282.1	PSC73350.1
OG0005599	PRW33183.1	PSC73811.1
OG0005600	PRW33143.1	PSC68654.1
OG0005601	PRW39158.1	PSC73516.1
OG0005605	PRW59038.1	PSC67946.1
OG0005608	PRW58807.1	PSC76923.1
OG0005609	PRW39292.1	PSC67249.1
OG0005613	PRW60913.1	PSC70493.1
OG0005614	PRW59044.1	PSC76100.1
OG0005615	PRW59061.1	PSC76476.1
OG0005617	PRW58881.1	PSC76537.1
OG0005620	PRW33121.1	PSC73541.1
OG0005622	PRW59175.1	PSC75778.1
OG0005626	PRW59334.1	PSC73418.1
OG0005630	PRW61013.1	PSC70623.1
OG0005631	PRW58752.1	PSC76660.1
OG0005632	PRW59028.1	PSC76683.1
OG0005633	PRW56694.1, PRW56566.1	PSC71385.1
OG0005636	PRW61461.1	PSC73497.1
OG0005638	PRW59374.1	PSC67993.1
OG0005639	PRW59298.1	PSC67992.1
OG0005642	PRW59188.1	PSC67997.1
OG0005653	PRW20500.1	PSC76158.1
OG0005657	PRW32902.1	PSC68749.1
OG0005659	PRW50791.1	PSC75872.1
OG0005660	PRW50782.1	PSC75493.1
OG0005661	PRW60176.1	PSC76244.1
OG0005662	PRW51145.1	PSC76227.1
OG0005666	PRW57405.1	PSC70680.1
OG0005674	PRW50910.1	PSC73818.1
OG0005685	PRW56219.1	PSC71523.1
OG0005687	PRW59018.1	PSC73504.1
OG0005688	PRW55923.1	PSC67453.1
OG0005690	PRW18363.1	PSC72861.1
OG0005691	PRW18415.1	PSC72680.1
OG0005692	PRW18412.1	PSC72614.1
OG0005694	PRW18328.1	PSC72882.1
OG0005697	PRW18321.1	PSC72935.1
OG0005699	PRW20729.1	PSC74708.1
OG0005702	PRW32606.1	PSC76208.1
OG0005703	PRW61398.1	PSC67278.1
OG0005704	PRW20625.1	PSC74412.1
OG0005713	PRW20768.1	PSC74420.1, PSC74419.1
OG0005715	PRW57477.1	PSC69549.1
OG0005718	PRW20847.1	PSC69562.1
OG0005719	PRW20941.1	PSC69524.1
OG0005723	PRW20799.1	PSC74979.1
OG0005726	PRW56822.1	PSC72461.1
OG0005729	PRW56429.1	PSC72800.1
OG0005730	PRW56759.1	PSC72629.1
OG0005731	PRW05821.1	PSC75800.1
OG0005739	PRW56488.1	PSC72554.1
OG0005741	PRW57140.1	PSC72090.1
