Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_A99_genome_proteins
OG0004674	PRW05820.1	scaffold3.g6643.t1
OG0004675	PRW59967.1	scaffold3.g6645.t1
OG0004676	PRW59774.1	scaffold3.g6648.t1
OG0004677	PRW59808.1	scaffold3.g6650.t1
OG0004678	PRW60053.1	scaffold3.g6651.t1
OG0004679	PRW59541.1	scaffold3.g6653.t1
OG0004680	PRW59650.1	scaffold3.g6656.t1
OG0004681	PRW59993.1	scaffold3.g6658.t1
OG0004682	PRW59721.1	scaffold3.g6659.t1
OG0004683	PRW59623.1	scaffold3.g6661.t1
OG0004684	PRW34053.1	scaffold3.g6664.t1
OG0004685	PRW60012.1	scaffold3.g6666.t1
OG0004686	PRW59601.1	scaffold3.g6669.t1
OG0004687	PRW59479.1	scaffold3.g6670.t1
OG0004688	PRW59720.1	scaffold3.g6671.t1
OG0004689	PRW60075.1	scaffold3.g6672.t1
OG0004690	PRW59959.1	scaffold3.g6673.t1
OG0004691	PRW59824.1	scaffold3.g6674.t1
OG0004692	PRW60172.1	scaffold3.g6677.t1
OG0004693	PRW60126.1	scaffold3.g6680.t1
OG0004694	PRW60145.1	scaffold3.g6684.t1
OG0004695	PRW59863.1	scaffold3.g6686.t1
OG0004696	PRW60045.1	scaffold3.g6687.t1
OG0004697	PRW60044.1	scaffold3.g6690.t1
OG0004698	PRW59578.1	scaffold3.g6698.t1
OG0004699	PRW59455.1	scaffold3.g6699.t1
OG0004700	PRW59583.1	scaffold3.g6700.t1
OG0004701	PRW61531.1	scaffold3.g6702.t1
OG0004702	PRW57060.1	scaffold3.g6704.t1
OG0004703	PRW59951.1	scaffold3.g6709.t1
OG0004704	PRW60143.1	scaffold3.g6710.t1
OG0004705	PRW59975.1	scaffold3.g6711.t1
OG0004706	PRW59789.1	scaffold3.g6712.t1
OG0004707	PRW59725.1	scaffold3.g6714.t1
OG0004708	PRW59676.1	scaffold3.g6716.t1
OG0004709	PRW60049.1	scaffold3.g6717.t1
OG0004710	PRW59508.1	scaffold3.g6718.t1
OG0004711	PRW59790.1	scaffold3.g6719.t1
OG0004712	PRW60069.1	scaffold3.g6720.t1
OG0004713	PRW59666.1	scaffold3.g6723.t1
OG0004714	PRW59552.1	scaffold3.g6724.t1
OG0004715	PRW59594.1	scaffold3.g6728.t1
OG0004716	PRW59999.1	scaffold3.g6733.t1
OG0004717	PRW59554.1	scaffold3.g6739.t1
OG0004718	PRW59454.1	scaffold3.g6740.t1
OG0004719	PRW59451.1	scaffold3.g6742.t1
OG0004720	PRW60102.1	scaffold3.g6746.t1
OG0004721	PRW59631.1	scaffold3.g6748.t1
OG0004722	PRW60010.1	scaffold3.g6749.t1
OG0004723	PRW59909.1	scaffold3.g6750.t1
OG0004724	PRW60096.1	scaffold3.g6754.t1
OG0004725	PRW59947.1	scaffold3.g6755.t1
OG0004726	PRW59732.1	scaffold3.g6757.t1
OG0004727	PRW60014.1	scaffold3.g6758.t1
OG0004728	PRW60013.1	scaffold3.g6760.t1
OG0004729	PRW59542.1	scaffold3.g6761.t1
OG0004730	PRW59556.1	scaffold3.g6763.t1
OG0004731	PRW59826.1	scaffold3.g6764.t1
OG0004732	PRW60186.1	scaffold3.g6770.t1
OG0004733	PRW61270.1	scaffold3.g6771.t1
OG0004734	PRW61397.1	scaffold2.g6773.t1
OG0004735	PRW61319.1	scaffold2.g6779.t1
OG0004736	PRW61470.1	scaffold2.g6780.t1
OG0004737	PRW61265.1, PRW45335.1	scaffold2.g6782.t1
OG0004738	PRW61158.1	scaffold2.g6783.t1
OG0004739	PRW61611.1	scaffold2.g6785.t1
OG0004740	PRW60956.1	scaffold2.g6786.t1
OG0004741	PRW61306.1	scaffold2.g6793.t1
OG0004742	PRW61430.1	scaffold2.g6797.t1
OG0004743	PRW51010.1	scaffold2.g6799.t1
OG0004744	PRW61345.1	scaffold2.g6801.t1
OG0004745	PRW61320.1	scaffold2.g6802.t1
OG0004746	PRW61396.1	scaffold2.g6804.t1
OG0004747	PRW61384.1	scaffold2.g6806.t1
OG0004748	PRW61435.1	scaffold2.g6809.t1
OG0004749	PRW61366.1	scaffold2.g6810.t1
OG0004750	PRW61312.1	scaffold2.g6819.t1
OG0004751	PRW60980.1	scaffold2.g6820.t1
OG0004752	PRW61113.1	scaffold2.g6821.t1
OG0004753	PRW61204.1	scaffold2.g6824.t1
OG0004754	PRW61134.1	scaffold2.g6828.t1
OG0004755	PRW60948.1	scaffold2.g6829.t1
OG0004756	PRW61109.1	scaffold2.g6835.t1
OG0004757	PRW61284.1	scaffold2.g6839.t1
OG0004758	PRW61522.1	scaffold2.g6840.t1
OG0004759	PRW44541.1	scaffold2.g6842.t1
OG0004760	PRW44609.1	scaffold2.g6846.t1
OG0004761	PRW44593.1	scaffold2.g6847.t1
OG0004762	PRW61192.1	scaffold2.g6848.t1
OG0004763	PRW44343.1	scaffold2.g6851.t1
OG0004764	PRW57255.1	scaffold2.g6852.t1
OG0004765	PRW44551.1	scaffold2.g6854.t1
OG0004766	PRW57281.1	scaffold2.g6855.t1
OG0004767	PRW57541.1	scaffold2.g6856.t1
OG0004768	PRW45683.1	scaffold2.g6859.t1
OG0004769	PRW57198.1	scaffold2.g6861.t1
OG0004770	PRW61250.1	scaffold2.g6863.t1
OG0004771	PRW44534.1	scaffold2.g6865.t1
OG0004772	PRW61576.1	scaffold2.g6866.t1
OG0004773	PRW61220.1	scaffold2.g6871.t1
OG0004774	PRW44611.1	scaffold2.g6873.t1
OG0004775	PRW61057.1	scaffold2.g6874.t1
OG0004776	PRW61173.1	scaffold2.g6875.t1
OG0004777	PRW57516.1	scaffold2.g6876.t1
OG0004778	PRW61172.1	scaffold2.g6877.t1
OG0004779	PRW61218.1	scaffold2.g6878.t1
OG0004780	PRW61415.1	scaffold2.g6880.t1
OG0004781	PRW61179.1	scaffold2.g6881.t1
OG0004782	PRW61183.1	scaffold2.g6884.t1
OG0004783	PRW61505.1	scaffold2.g6885.t1
OG0004784	PRW56867.1	scaffold2.g6891.t1
OG0004785	PRW61601.1, PRW61600.1	scaffold2.g6893.t1
OG0004786	PRW61188.1	scaffold2.g6895.t1
OG0004787	PRW57505.1	scaffold2.g6909.t1
OG0004788	PRW61331.1	scaffold2.g6914.t1
OG0004789	PRW61382.1	scaffold2.g6916.t1
OG0004790	PRW45689.1	scaffold2.g6920.t1
OG0004791	PRW61267.1	scaffold2.g6925.t1
OG0004792	PRW58141.1	scaffold2.g6929.t1
OG0004793	PRW61495.1	scaffold2.g6930.t1
OG0004794	PRW61152.1	scaffold2.g6931.t1
OG0004795	PRW45022.1	scaffold2.g6933.t1
OG0004796	PRW61321.1	scaffold2.g6934.t1
OG0004797	PRW61357.1	scaffold2.g6935.t1
OG0004798	PRW61025.1	scaffold2.g6936.t1
OG0004799	PRW20966.1	scaffold2.g6942.t1
OG0004800	PRW61128.1	scaffold2.g6944.t1
OG0004801	PRW61367.1	scaffold2.g6948.t1
OG0004802	PRW57970.1	scaffold2.g6951.t1
OG0004803	PRW60982.1	scaffold2.g6953.t1
OG0004804	PRW61542.1	scaffold2.g6954.t1
OG0004805	PRW61399.1	scaffold2.g6956.t1
OG0004806	PRW61161.1	scaffold2.g6957.t1
OG0004807	PRW61506.1	scaffold2.g6959.t1
OG0004808	PRW32571.1	scaffold2.g6970.t1
OG0004809	PRW61346.1	scaffold2.g6972.t1
OG0004810	PRW33623.1	scaffold2.g6973.t1
OG0004811	PRW61141.1	scaffold2.g6974.t1
OG0004812	PRW61181.1	scaffold2.g6983.t1
OG0004813	PRW33914.1	scaffold2.g6986.t1
OG0004814	PRW20425.1	scaffold2.g6987.t1
OG0004815	PRW20997.1	scaffold2.g6991.t1
OG0004816	PRW61006.1	scaffold2.g6992.t1
OG0004817	PRW56446.1	scaffold2.g6998.t1
OG0004819	PRW60873.1	scaffold2.g7000.t1
OG0004820	PRW61049.1	scaffold2.g7006.t1
OG0004821	PRW60904.1	scaffold2.g7008.t1
OG0004822	PRW61217.1	scaffold2.g7009.t1
OG0004823	PRW61240.1	scaffold2.g7012.t1
OG0004824	PRW60231.1	scaffold2.g7022.t1
OG0004825	PRW61072.1	scaffold2.g7025.t1
OG0004826	PRW60902.1	scaffold2.g7026.t1
OG0004827	PRW56808.1	scaffold2.g7029.t1
OG0004828	PRW60943.1	scaffold2.g7034.t1
OG0004829	PRW61184.1	scaffold2.g7037.t1
OG0004830	PRW61599.1	scaffold2.g7042.t1
OG0004831	PRW61572.1	scaffold2.g7045.t1
OG0004832	PRW39141.1	scaffold2.g7049.t1
OG0004833	PRW61098.1	scaffold2.g7051.t1
OG0004834	PRW61044.1	scaffold2.g7052.t1
OG0004835	PRW57677.1	scaffold2.g7054.t1
OG0004836	PRW60974.1	scaffold2.g7057.t1
OG0004837	PRW61177.1, PRW61178.1	scaffold2.g7059.t1
OG0004838	PRW05930.1	scaffold2.g7060.t1
OG0004840	PRW51075.1	scaffold2.g7070.t1
OG0004841	PRW50990.1	scaffold2.g7072.t1
OG0004842	PRW57723.1	scaffold2.g7073.t1
OG0004843	PRW50954.1	scaffold2.g7075.t1
OG0004844	PRW05884.1	scaffold2.g7083.t1
OG0004845	PRW05934.1	scaffold2.g7084.t1
OG0004846	PRW05939.1	scaffold2.g7085.t1
OG0004847	PRW61009.1	scaffold2.g7088.t1
OG0004848	PRW50967.1	scaffold2.g7096.t1
OG0004849	PRW50870.1	scaffold2.g7099.t1
OG0004850	PRW51038.1	scaffold2.g7102.t1
OG0004851	PRW50984.1	scaffold2.g7104.t1
OG0004852	PRW51041.1	scaffold2.g7108.t1
OG0004853	PRW50868.1	scaffold2.g7113.t1
OG0004854	PRW51175.1	scaffold2.g7119.t1
OG0004855	PRW05913.1	scaffold2.g7138.t1
OG0004856	PRW56664.1	scaffold2.g7140.t1
OG0004857	PRW51089.1	scaffold2.g7142.t1
OG0004858	PRW33681.1	scaffold2.g7144.t1
OG0004859	PRW05938.1	scaffold2.g7145.t1
OG0004860	PRW51029.1	scaffold2.g7146.t1
OG0004861	PRW51060.1	scaffold2.g7147.t1
OG0004862	PRW21018.1	scaffold2.g7150.t1
OG0004863	PRW21077.1	scaffold2.g7151.t1
OG0004864	PRW21006.1	scaffold2.g7153.t1
OG0004865	PRW21115.1	scaffold2.g7154.t1
OG0004866	PRW20973.1	scaffold2.g7156.t1
OG0004867	PRW21004.1	scaffold2.g7157.t1
OG0004868	PRW58633.1	scaffold2.g7160.t1
OG0004869	PRW21135.1	scaffold2.g7164.t1
OG0004870	PRW21022.1	scaffold2.g7169.t1
OG0004871	PRW21054.1	scaffold2.g7175.t1
OG0004872	PRW21021.1	scaffold2.g7179.t1
OG0004873	PRW20208.1	scaffold2.g7187.t1
OG0004874	PRW32835.1	scaffold2.g7195.t1
OG0004875	PRW33057.1	scaffold2.g7196.t1
OG0004876	PRW32929.1	scaffold2.g7200.t1
OG0004877	PRW21041.1	scaffold2.g7202.t1
OG0004878	PRW20212.1	scaffold2.g7210.t1
OG0004880	PRW21034.1	scaffold2.g7214.t1
OG0004881	PRW32985.1	scaffold2.g7221.t1
OG0004882	PRW32952.1	scaffold2.g7222.t1
OG0004883	PRW32830.1	scaffold2.g7223.t1
OG0004884	PRW32996.1	scaffold2.g7225.t1
OG0004885	PRW32881.1	scaffold2.g7226.t1
OG0004886	PRW21070.1	scaffold2.g7228.t1
OG0004887	PRW21038.1	scaffold2.g7229.t1
OG0004888	PRW21095.1	scaffold2.g7231.t1
OG0004889	PRW21048.1	scaffold2.g7232.t1
OG0004890	PRW45564.1	scaffold2.g7239.t1
OG0004891	PRW33055.1	scaffold2.g7241.t1
OG0004892	PRW32969.1	scaffold2.g7242.t1
OG0004893	PRW33078.1	scaffold2.g7243.t1
OG0004894	PRW32988.1	scaffold2.g7246.t1
OG0004895	PRW32998.1	scaffold2.g7256.t1
OG0004896	PRW32897.1	scaffold2.g7257.t1
OG0004897	PRW33021.1	scaffold2.g7258.t1
OG0004898	PRW32942.1	scaffold2.g7260.t1
OG0004899	PRW32975.1	scaffold2.g7262.t1
OG0004900	PRW32947.1	scaffold2.g7264.t1
OG0004901	PRW57323.1	scaffold2.g7267.t1
OG0004902	PRW33076.1	scaffold2.g7269.t1
OG0004903	PRW33028.1	scaffold2.g7270.t1
OG0004904	PRW32961.1	scaffold2.g7274.t1
OG0004905	PRW32992.1	scaffold2.g7277.t1
OG0004906	PRW21001.1	scaffold2.g7282.t1
OG0004907	PRW45716.1	scaffold2.g7283.t1
OG0004908	PRW45441.1	scaffold2.g7284.t1
OG0004909	PRW45709.1	scaffold2.g7285.t1
OG0004910	PRW20214.1	scaffold2.g7298.t1
OG0004911	PRW32836.1	scaffold2.g7303.t1
OG0004912	PRW32844.1	scaffold2.g7308.t1
OG0004913	PRW32896.1	scaffold2.g7310.t1
OG0004914	PRW33042.1	scaffold2.g7313.t1
OG0004915	PRW32863.1	scaffold2.g7314.t1
OG0004916	PRW32991.1	scaffold2.g7316.t1
OG0004917	PRW32948.1	scaffold2.g7317.t1
OG0004918	PRW33036.1	scaffold2.g7318.t1
OG0004919	PRW32954.1	scaffold2.g7319.t1
OG0004920	PRW32986.1	scaffold2.g7321.t1
OG0004921	PRW20203.1	scaffold2.g7326.t1
OG0004922	PRW20210.1	scaffold2.g7331.t1
OG0004923	PRW20269.1	scaffold2.g7336.t1
OG0004924	PRW20217.1	scaffold2.g7340.t1
OG0004925	PRW20174.1	scaffold2.g7341.t1
OG0004926	PRW20260.1	scaffold2.g7342.t1
OG0004927	PRW20172.1	scaffold2.g7349.t1
OG0004928	PRW20272.1	scaffold2.g7353.t1
OG0004929	PRW20185.1	scaffold2.g7354.t1
OG0004930	PRW57267.1	scaffold2.g7355.t1
OG0004931	PRW58306.1	scaffold2.g7358.t1
OG0004932	PRW32964.1	scaffold2.g7363.t1
OG0004933	PRW33037.1	scaffold2.g7364.t1
OG0004934	PRW32895.1	scaffold2.g7365.t1
OG0004935	PRW56603.1	scaffold2.g7366.t1
OG0004936	PRW33017.1	scaffold2.g7370.t1
OG0004937	PRW32832.1	scaffold2.g7378.t1
OG0004938	PRW44879.1	scaffold2.g7384.t1
OG0004940	PRW44911.1	scaffold2.g7387.t1
OG0004941	PRW44841.1	scaffold2.g7396.t1
OG0004942	PRW45143.1	scaffold2.g7399.t1
OG0004943	PRW45213.1	scaffold2.g7400.t1
OG0004945	PRW45153.1	scaffold2.g7408.t1
OG0004946	PRW44989.1	scaffold2.g7410.t1
OG0004947	PRW45199.1	scaffold2.g7411.t1
OG0004948	PRW45083.1	scaffold2.g7412.t1
OG0004949	PRW45090.1	scaffold2.g7416.t1
OG0004950	PRW44889.1	scaffold2.g7417.t1
OG0004951	PRW44951.1	scaffold2.g7419.t1
OG0004952	PRW45016.1	scaffold2.g7421.t1
OG0004953	PRW44992.1	scaffold2.g7426.t1
OG0004954	PRW45017.1	scaffold2.g7429.t1
OG0004955	PRW45145.1	scaffold2.g7436.t1
OG0004956	PRW45237.1	scaffold2.g7437.t1
OG0004957	PRW45269.1	scaffold2.g7438.t1
OG0004958	PRW44993.1	scaffold2.g7443.t1
OG0004959	PRW60597.1	scaffold2.g7453.t1
OG0004960	PRW44973.1	scaffold2.g7457.t1
OG0004961	PRW45057.1	scaffold2.g7459.t1
OG0004962	PRW44948.1	scaffold2.g7460.t1
OG0004963	PRW45155.1	scaffold2.g7462.t1
OG0004964	PRW45054.1, PRW45055.1	scaffold2.g7463.t1
OG0004965	PRW44892.1	scaffold2.g7464.t1
OG0004966	PRW45162.1	scaffold2.g7469.t1
OG0004967	PRW44965.1	scaffold2.g7473.t1
OG0004968	PRW33955.1	scaffold2.g7476.t1
OG0004969	PRW44955.1	scaffold2.g7477.t1
OG0004970	PRW45261.1	scaffold2.g7478.t1
OG0004971	PRW44866.1	scaffold2.g7480.t1
OG0004972	PRW34021.1	scaffold2.g7487.t1
OG0004973	PRW33865.1	scaffold2.g7490.t1
OG0004974	PRW33867.1	scaffold2.g7491.t1
OG0004975	PRW45586.1	scaffold2.g7495.t1
OG0004976	PRW58059.1	scaffold2.g7498.t1
OG0004977	PRW61002.1	scaffold2.g7510.t1
OG0004978	PRW33818.1	scaffold2.g7513.t1
OG0004979	PRW34002.1	scaffold2.g7514.t1
OG0004980	PRW33978.1	scaffold2.g7516.t1
OG0004981	PRW34018.1	scaffold2.g7518.t1
OG0004982	PRW33769.1	scaffold2.g7520.t1
OG0004983	PRW33971.1	scaffold2.g7521.t1
OG0004984	PRW33989.1	scaffold2.g7522.t1
OG0004985	PRW33759.1	scaffold2.g7523.t1
OG0004986	PRW33892.1	scaffold2.g7525.t1
OG0004987	PRW33951.1	scaffold2.g7526.t1
OG0004988	PRW33995.1	scaffold2.g7527.t1
OG0004989	PRW45012.1	scaffold2.g7528.t1
OG0004990	PRW33784.1	scaffold2.g7529.t1
OG0004991	PRW34103.1	scaffold2.g7532.t1
OG0004992	PRW33861.1	scaffold2.g7535.t1
OG0004993	PRW60951.1	scaffold28.g7539.t1
OG0004994	PRW44935.1	scaffold28.g7546.t1
OG0004995	PRW45252.1	scaffold28.g7547.t1
OG0004996	PRW45207.1	scaffold28.g7550.t1, scaffold28.g7551.t1
OG0004997	PRW59617.1	scaffold28.g7552.t1
OG0004998	PRW44875.1	scaffold28.g7556.t1
OG0004999	PRW45245.1	scaffold28.g7557.t1
OG0005000	PRW44984.1	scaffold28.g7558.t1
OG0005001	PRW45127.1	scaffold28.g7562.t1
OG0005002	PRW45239.1	scaffold28.g7565.t1
OG0005003	PRW45070.1	scaffold28.g7568.t1
OG0005004	PRW44926.1	scaffold28.g7574.t1
OG0005005	PRW45208.1	scaffold28.g7577.t1
OG0005006	PRW44878.1	scaffold28.g7579.t1
OG0005007	PRW45005.1	scaffold28.g7587.t1
OG0005008	PRW44968.1	scaffold28.g7588.t1
OG0005009	PRW45240.1	scaffold28.g7589.t1
OG0005010	PRW45247.1	scaffold28.g7594.t1
OG0005011	PRW44944.1	scaffold28.g7596.t1
OG0005012	PRW45228.1	scaffold28.g7597.t1
OG0005013	PRW45202.1	scaffold28.g7598.t1
OG0005014	PRW44950.1	scaffold28.g7599.t1
OG0005015	PRW44849.1	scaffold28.g7600.t1
OG0005016	PRW44872.1	scaffold28.g7601.t1
OG0005017	PRW57419.1	scaffold20.g7603.t1
OG0005018	PRW57452.1	scaffold20.g7609.t1
OG0005019	PRW57144.1	scaffold20.g7612.t1
OG0005020	PRW57333.1	scaffold20.g7614.t1
OG0005021	PRW57390.1	scaffold20.g7617.t1
OG0005022	PRW57500.1	scaffold20.g7618.t1
OG0005023	PRW57511.1	scaffold20.g7621.t1
OG0005024	PRW56981.1	scaffold20.g7622.t1
OG0005025	PRW57159.1	scaffold20.g7623.t1
OG0005026	PRW57435.1	scaffold20.g7626.t1
OG0005027	PRW56947.1	scaffold20.g7627.t1
OG0005028	PRW57243.1	scaffold20.g7630.t1
OG0005029	PRW57212.1	scaffold20.g7632.t1
OG0005031	PRW56951.1	scaffold20.g7636.t1
OG0005032	PRW56955.1	scaffold20.g7637.t1
OG0005033	PRW57003.1	scaffold20.g7640.t1
OG0005034	PRW57518.1	scaffold20.g7642.t1
OG0005035	PRW57284.1	scaffold20.g7644.t1
OG0005036	PRW57427.1	scaffold20.g7645.t1
OG0005037	PRW57124.1	scaffold20.g7647.t1
OG0005038	PRW57399.1	scaffold20.g7649.t1
OG0005039	PRW56959.1	scaffold20.g7660.t1
OG0005040	PRW57404.1	scaffold20.g7666.t1
OG0005041	PRW57440.1	scaffold20.g7669.t1
OG0005042	PRW33170.1	scaffold20.g7671.t1
OG0005043	PRW58211.1	scaffold20.g7673.t1
OG0005044	PRW57071.1	scaffold20.g7675.t1
OG0005045	PRW57095.1	scaffold20.g7677.t1
OG0005046	PRW57449.1	scaffold20.g7682.t1
OG0005047	PRW57431.1	scaffold20.g7683.t1
OG0005048	PRW57094.1	scaffold20.g7684.t1
OG0005049	PRW57328.1	scaffold20.g7686.t1
OG0005050	PRW57072.1	scaffold20.g7687.t1
OG0005051	PRW57008.1	scaffold20.g7688.t1
OG0005052	PRW61578.1	scaffold20.g7690.t1
OG0005053	PRW57514.1	scaffold20.g7691.t1
OG0005054	PRW56974.1	scaffold20.g7692.t1
OG0005055	PRW57121.1	scaffold20.g7693.t1
OG0005056	PRW56900.1	scaffold20.g7701.t1
OG0005057	PRW57041.1	scaffold20.g7702.t1
OG0005058	PRW57141.1	scaffold20.g7703.t1
OG0005059	PRW57531.1	scaffold20.g7705.t1
OG0005060	PRW56941.1	scaffold20.g7706.t1
OG0005062	PRW44405.1	scaffold20.g7709.t1
OG0005063	PRW57355.1	scaffold20.g7712.t1
OG0005064	PRW57251.1	scaffold20.g7713.t1
OG0005065	PRW57111.1	scaffold20.g7715.t1
OG0005066	PRW57467.1	scaffold20.g7716.t1
OG0005067	PRW57170.1	scaffold20.g7718.t1
OG0005068	PRW57368.1	scaffold20.g7719.t1
OG0005069	PRW57461.1	scaffold20.g7720.t1
OG0005070	PRW57034.1	scaffold20.g7723.t1
OG0005071	PRW57208.1	scaffold20.g7727.t1
OG0005072	PRW57474.1	scaffold20.g7728.t1
OG0005073	PRW57313.1	scaffold20.g7729.t1
OG0005074	PRW61412.1	scaffold20.g7730.t1
OG0005075	PRW57075.1	scaffold20.g7737.t1
OG0005076	PRW57406.1	scaffold20.g7741.t1
OG0005077	PRW57494.1	scaffold20.g7745.t1
OG0005078	PRW57252.1	scaffold20.g7746.t1
OG0005079	PRW56993.1	scaffold20.g7750.t1
OG0005080	PRW57088.1	scaffold20.g7752.t1
OG0005082	PRW57155.1	scaffold20.g7761.t1
OG0005083	PRW57182.1	scaffold20.g7762.t1
OG0005084	PRW57127.1, PRW56994.1	scaffold20.g7764.t1
OG0005085	PRW57401.1	scaffold20.g7768.t1
OG0005086	PRW57018.1	scaffold20.g7773.t1
OG0005087	PRW59301.1	scaffold20.g7779.t1
OG0005088	PRW20814.1	scaffold20.g7781.t1
OG0005089	PRW20947.1	scaffold20.g7785.t1
OG0005090	PRW57118.1	scaffold20.g7787.t1
OG0005091	PRW57340.1	scaffold20.g7789.t1
OG0005092	PRW56999.1	scaffold20.g7790.t1
OG0005093	PRW57402.1	scaffold20.g7792.t1
OG0005094	PRW57197.1	scaffold20.g7794.t1
OG0005095	PRW57086.1	scaffold20.g7797.t1
OG0005096	PRW57377.1	scaffold20.g7798.t1
OG0005097	PRW57228.1	scaffold20.g7799.t1
OG0005098	PRW20785.1	scaffold20.g7801.t1
OG0005099	PRW57084.1	scaffold20.g7802.t1
OG0005100	PRW56940.1	scaffold20.g7803.t1
OG0005101	PRW20898.1	scaffold20.g7805.t1
OG0005102	PRW20867.1	scaffold20.g7806.t1
OG0005103	PRW57395.1	scaffold20.g7807.t1
OG0005104	PRW20953.1	scaffold20.g7811.t1
OG0005105	PRW57164.1	scaffold20.g7812.t1
OG0005106	PRW20800.1	scaffold20.g7813.t1
OG0005107	PRW57286.1	scaffold20.g7814.t1
OG0005108	PRW20787.1	scaffold20.g7815.t1
OG0005109	PRW20801.1	scaffold20.g7818.t1
OG0005110	PRW60328.1	scaffold20.g7820.t1
OG0005111	PRW57487.1	scaffold20.g7821.t1
OG0005112	PRW44438.1	scaffold20.g7823.t1
OG0005113	PRW20781.1	scaffold20.g7826.t1
OG0005114	PRW20911.1	scaffold20.g7828.t1
OG0005115	PRW57131.1	scaffold20.g7831.t1
OG0005116	PRW56928.1	scaffold20.g7832.t1
OG0005117	PRW57098.1	scaffold20.g7833.t1
OG0005118	PRW57236.1	scaffold20.g7837.t1
OG0005119	PRW57432.1, PRW57433.1	scaffold20.g7838.t1
OG0005120	PRW56897.1	scaffold20.g7842.t1
OG0005121	PRW57257.1	scaffold20.g7843.t1
OG0005122	PRW57033.1	scaffold20.g7848.t1
OG0005123	PRW20869.1	scaffold20.g7849.t1
OG0005124	PRW57218.1	scaffold20.g7855.t1
OG0005125	PRW20876.1	scaffold20.g7857.t1
OG0005126	PRW20834.1	scaffold20.g7859.t1
OG0005127	PRW57128.1	scaffold20.g7861.t1
OG0005128	PRW20890.1	scaffold20.g7866.t1
OG0005129	PRW20951.1	scaffold20.g7868.t1
OG0005130	PRW56980.1	scaffold20.g7872.t1
OG0005131	PRW57044.1	scaffold20.g7873.t1
OG0005132	PRW57238.1	scaffold20.g7878.t1
OG0005133	PRW57102.1	scaffold20.g7879.t1
OG0005134	PRW57074.1	scaffold20.g7881.t1
OG0005135	PRW57114.1	scaffold20.g7883.t1
OG0005136	PRW57519.1	scaffold20.g7885.t1
OG0005137	PRW57185.1	scaffold20.g7887.t1
OG0005138	PRW57486.1	scaffold20.g7888.t1
OG0005139	PRW57043.1	scaffold20.g7889.t1
OG0005140	PRW57523.1	scaffold20.g7891.t1
OG0005141	PRW57137.1	scaffold20.g7892.t1
OG0005142	PRW57070.1	scaffold20.g7896.t1
OG0005143	PRW57247.1	scaffold20.g7898.t1
OG0005144	PRW57244.1	scaffold20.g7899.t1
OG0005145	PRW57697.1	scaffold12.g7901.t1
OG0005146	PRW57622.1	scaffold12.g7902.t1
OG0005147	PRW57630.1	scaffold12.g7905.t1
OG0005148	PRW57962.1	scaffold12.g7907.t1
OG0005149	PRW57634.1	scaffold12.g7911.t1
OG0005150	PRW57959.1	scaffold12.g7913.t1
OG0005151	PRW57968.1	scaffold12.g7916.t1
OG0005152	PRW57810.1	scaffold12.g7921.t1
OG0005153	PRW57641.1	scaffold12.g7922.t1
OG0005154	PRW57580.1	scaffold12.g7923.t1
OG0005155	PRW58063.1	scaffold12.g7929.t1
OG0005156	PRW57564.1	scaffold12.g7932.t1
OG0005157	PRW57900.1	scaffold12.g7933.t1
OG0005158	PRW57658.1	scaffold12.g7935.t1
OG0005159	PRW58039.1	scaffold12.g7943.t1
OG0005160	PRW58010.1	scaffold12.g7944.t1
OG0005161	PRW57636.1	scaffold12.g7948.t1
OG0005162	PRW57938.1	scaffold12.g7949.t1
OG0005163	PRW58017.1	scaffold12.g7952.t1
OG0005164	PRW57738.1	scaffold12.g7959.t1
OG0005165	PRW57644.1	scaffold12.g7960.t1
OG0005166	PRW57617.1	scaffold12.g7962.t1
OG0005167	PRW57569.1	scaffold12.g7966.t1
OG0005168	PRW57851.1	scaffold12.g7967.t1
OG0005169	PRW57832.1	scaffold12.g7971.t1
OG0005170	PRW57884.1	scaffold12.g7974.t1
OG0005171	PRW57618.1	scaffold12.g7975.t1
OG0005172	PRW57812.1	scaffold12.g7978.t1
OG0005173	PRW57937.1	scaffold12.g7979.t1
OG0005174	PRW58057.1	scaffold12.g7980.t1
OG0005175	PRW57666.1	scaffold12.g7985.t1
OG0005176	PRW57750.1	scaffold12.g7987.t1
OG0005177	PRW61602.1	scaffold12.g7988.t1
OG0005178	PRW58036.1	scaffold12.g7989.t1
OG0005179	PRW57804.1	scaffold12.g7990.t1
OG0005180	PRW57736.1	scaffold12.g7993.t1
OG0005181	PRW58003.1	scaffold12.g7995.t1
OG0005182	PRW57885.1	scaffold12.g7998.t1
OG0005183	PRW57560.1	scaffold12.g7999.t1
OG0005184	PRW33858.1	scaffold12.g8003.t1
OG0005185	PRW57794.1	scaffold12.g8007.t1
OG0005186	PRW33894.1	scaffold12.g8008.t1
OG0005187	PRW34066.1	scaffold12.g8009.t1
OG0005188	PRW58018.1	scaffold12.g8011.t1
OG0005189	PRW57572.1	scaffold12.g8014.t1
OG0005190	PRW58014.1	scaffold12.g8019.t1
OG0005191	PRW58045.1	scaffold12.g8021.t1
OG0005192	PRW57903.1	scaffold12.g8025.t1
OG0005193	PRW57597.1	scaffold12.g8026.t1
OG0005194	PRW57615.1	scaffold12.g8038.t1
OG0005195	PRW58028.1	scaffold12.g8039.t1
