Orthogroup	oneline_A99_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0004841	scaffold2.g7072.t1	KAI3427138.1
OG0004842	scaffold2.g7073.t1	KAI3433592.1
OG0004843	scaffold2.g7075.t1	KAI3427151.1
OG0004844	scaffold2.g7083.t1	KAI3427312.1
OG0004845	scaffold2.g7084.t1	KAI3427359.1
OG0004846	scaffold2.g7085.t1	KAI3427355.1
OG0004847	scaffold2.g7088.t1	KAI3434840.1
OG0004848	scaffold2.g7096.t1	KAI3427227.1
OG0004849	scaffold2.g7099.t1	KAI3427221.1
OG0004850	scaffold2.g7102.t1	KAI3427211.1
OG0004851	scaffold2.g7104.t1	KAI3427210.1
OG0004852	scaffold2.g7108.t1	KAI3427149.1
OG0004853	scaffold2.g7113.t1	KAI3427226.1
OG0004854	scaffold2.g7119.t1	KAI3427219.1
OG0004855	scaffold2.g7138.t1	KAI3427435.1
OG0004856	scaffold2.g7140.t1	KAI3428327.1
OG0004857	scaffold2.g7142.t1	KAI3427200.1
OG0004858	scaffold2.g7144.t1	KAI3425235.1
OG0004859	scaffold2.g7145.t1	KAI3427415.1
OG0004860	scaffold2.g7146.t1	KAI3427261.1
OG0004861	scaffold2.g7147.t1	KAI3427262.1
OG0004862	scaffold2.g7150.t1	KAI3430972.1
OG0004863	scaffold2.g7151.t1	KAI3430977.1
OG0004864	scaffold2.g7153.t1	KAI3430889.1
OG0004865	scaffold2.g7154.t1	KAI3430861.1
OG0004866	scaffold2.g7156.t1	KAI3430848.1
OG0004867	scaffold2.g7157.t1	KAI3430838.1
OG0004868	scaffold2.g7160.t1	KAI3433932.1
OG0004869	scaffold2.g7164.t1	KAI3430855.1
OG0004870	scaffold2.g7169.t1	KAI3430832.1
OG0004871	scaffold2.g7175.t1	KAI3430847.1, KAI3430846.1
OG0004872	scaffold2.g7179.t1	KAI3430820.1
OG0004873	scaffold2.g7187.t1	KAI3430691.1
OG0004874	scaffold2.g7195.t1	KAI3430470.1
OG0004875	scaffold2.g7196.t1	KAI3430471.1
OG0004876	scaffold2.g7200.t1	KAI3430402.1
OG0004877	scaffold2.g7202.t1	KAI3430892.1
OG0004878	scaffold2.g7210.t1	KAI3430898.1
OG0004879	scaffold2.g7211.t1	KAI3430899.1
OG0004880	scaffold2.g7214.t1	KAI3430901.1
OG0004881	scaffold2.g7221.t1	KAI3430476.1
OG0004882	scaffold2.g7222.t1	KAI3430523.1
OG0004883	scaffold2.g7223.t1	KAI3430524.1
OG0004884	scaffold2.g7225.t1	KAI3430531.1
OG0004885	scaffold2.g7226.t1	KAI3430534.1
OG0004886	scaffold2.g7228.t1	KAI3430907.1
OG0004887	scaffold2.g7229.t1	KAI3430908.1
OG0004888	scaffold2.g7231.t1	KAI3430981.1
OG0004889	scaffold2.g7232.t1	KAI3430980.1
OG0004890	scaffold2.g7239.t1	KAI3424842.1
OG0004891	scaffold2.g7241.t1	KAI3430485.1
OG0004892	scaffold2.g7242.t1	KAI3430487.1
OG0004893	scaffold2.g7243.t1	KAI3430488.1
OG0004894	scaffold2.g7246.t1	KAI3430484.1
OG0004895	scaffold2.g7256.t1	KAI3430500.1
OG0004896	scaffold2.g7257.t1	KAI3430499.1
OG0004897	scaffold2.g7258.t1	KAI3430498.1
OG0004898	scaffold2.g7260.t1	KAI3430493.1
OG0004899	scaffold2.g7262.t1	KAI3430495.1
OG0004900	scaffold2.g7264.t1	KAI3430507.1
OG0004901	scaffold2.g7267.t1	KAI3438154.1
OG0004902	scaffold2.g7269.t1	KAI3430517.1
OG0004903	scaffold2.g7270.t1	KAI3430518.1
OG0004904	scaffold2.g7274.t1	KAI3430506.1
OG0004905	scaffold2.g7277.t1	KAI3430505.1
OG0004906	scaffold2.g7282.t1	KAI3430878.1
OG0004907	scaffold2.g7283.t1	KAI3424811.1
OG0004908	scaffold2.g7284.t1	KAI3424809.1
OG0004909	scaffold2.g7285.t1	KAI3424808.1
OG0004910	scaffold2.g7298.t1	KAI3430723.1
OG0004911	scaffold2.g7303.t1	KAI3430554.1
OG0004912	scaffold2.g7308.t1	KAI3430556.1
OG0004913	scaffold2.g7310.t1	KAI3430550.1
OG0004914	scaffold2.g7313.t1	KAI3430548.1
OG0004915	scaffold2.g7314.t1	KAI3430549.1
OG0004916	scaffold2.g7316.t1	KAI3430545.1
OG0004917	scaffold2.g7317.t1	KAI3430542.1
OG0004918	scaffold2.g7318.t1	KAI3430537.1
OG0004919	scaffold2.g7319.t1	KAI3430540.1
OG0004920	scaffold2.g7321.t1	KAI3430477.1
OG0004921	scaffold2.g7326.t1	KAI3430727.1
OG0004922	scaffold2.g7331.t1	KAI3430703.1
OG0004923	scaffold2.g7336.t1	KAI3430999.1
OG0004924	scaffold2.g7340.t1	KAI3431004.1
OG0004925	scaffold2.g7341.t1	KAI3431003.1
OG0004926	scaffold2.g7342.t1	KAI3430699.1
OG0004927	scaffold2.g7349.t1	KAI3430711.1
OG0004928	scaffold2.g7353.t1	KAI3430718.1
OG0004929	scaffold2.g7354.t1	KAI3430712.1
OG0004930	scaffold2.g7355.t1	KAI3438241.1
OG0004931	scaffold2.g7358.t1	KAI3433524.1
OG0004932	scaffold2.g7363.t1	KAI3430573.1
OG0004933	scaffold2.g7364.t1	KAI3430572.1
OG0004934	scaffold2.g7365.t1	KAI3430569.1
OG0004935	scaffold2.g7366.t1	KAI3427944.1
OG0004936	scaffold2.g7370.t1	KAI3430578.1
OG0004937	scaffold2.g7378.t1	KAI3430584.1
OG0004938	scaffold2.g7384.t1	KAI3426284.1
OG0004939	scaffold2.g7386.t1	KAI3426263.1, KAI3426266.1
OG0004940	scaffold2.g7387.t1	KAI3426251.1
OG0004941	scaffold2.g7396.t1	KAI3426304.1
OG0004942	scaffold2.g7399.t1	KAI3426305.1
OG0004943	scaffold2.g7400.t1	KAI3426306.1
OG0004944	scaffold2.g7407.t1	KAI3426314.1
OG0004945	scaffold2.g7408.t1	KAI3426310.1
OG0004946	scaffold2.g7410.t1	KAI3426319.1
OG0004947	scaffold2.g7411.t1	KAI3426241.1
OG0004948	scaffold2.g7412.t1	KAI3426239.1
OG0004949	scaffold2.g7416.t1	KAI3426256.1
OG0004950	scaffold2.g7417.t1	KAI3426257.1
OG0004951	scaffold2.g7419.t1	KAI3426244.1
OG0004952	scaffold2.g7421.t1	KAI3426327.1
OG0004953	scaffold2.g7426.t1	KAI3426476.1
OG0004954	scaffold2.g7429.t1	KAI3426465.1
OG0004955	scaffold2.g7436.t1	KAI3426333.1
OG0004956	scaffold2.g7437.t1	KAI3426462.1
OG0004957	scaffold2.g7438.t1	KAI3426463.1
OG0004958	scaffold2.g7443.t1	KAI3426477.1
OG0004959	scaffold2.g7453.t1	KAI3429636.1
OG0004960	scaffold2.g7457.t1	KAI3426481.1
OG0004961	scaffold2.g7459.t1	KAI3426511.1
OG0004962	scaffold2.g7460.t1	KAI3426510.1
OG0004963	scaffold2.g7462.t1	KAI3426507.1
OG0004965	scaffold2.g7464.t1	KAI3426505.1
OG0004966	scaffold2.g7469.t1	KAI3426484.1
OG0004967	scaffold2.g7473.t1	KAI3426489.1
OG0004968	scaffold2.g7476.t1	KAI3426494.1
OG0004969	scaffold2.g7477.t1	KAI3426492.1
OG0004970	scaffold2.g7478.t1	KAI3426491.1
OG0004971	scaffold2.g7480.t1	KAI3426503.1
OG0004972	scaffold2.g7487.t1	KAI3426085.1
OG0004973	scaffold2.g7490.t1	KAI3426076.1
OG0004974	scaffold2.g7491.t1	KAI3426077.1
OG0004975	scaffold2.g7495.t1	KAI3424726.1
OG0004976	scaffold2.g7498.t1	KAI3425917.1
OG0004977	scaffold2.g7510.t1	KAI3423435.1
OG0004978	scaffold2.g7513.t1	KAI3425989.1
OG0004979	scaffold2.g7514.t1	KAI3425988.1
OG0004980	scaffold2.g7516.t1	KAI3425987.1
OG0004981	scaffold2.g7518.t1	KAI3426067.1
OG0004982	scaffold2.g7520.t1	KAI3426072.1
OG0004983	scaffold2.g7521.t1	KAI3426071.1
OG0004984	scaffold2.g7522.t1	KAI3426070.1
OG0004985	scaffold2.g7523.t1	KAI3426069.1
OG0004986	scaffold2.g7525.t1	KAI3426089.1
OG0004987	scaffold2.g7526.t1	KAI3426090.1
OG0004988	scaffold2.g7527.t1	KAI3426073.1
OG0004989	scaffold2.g7528.t1	KAI3426094.1
OG0004990	scaffold2.g7529.t1	KAI3426096.1
OG0004991	scaffold2.g7532.t1	KAI3426099.1
OG0004992	scaffold2.g7535.t1	KAI3426088.1
OG0004993	scaffold28.g7539.t1	KAI3432662.1
OG0004994	scaffold28.g7546.t1	KAI3426264.1
OG0004995	scaffold28.g7547.t1	KAI3426265.1
OG0004996	scaffold28.g7550.t1, scaffold28.g7551.t1	KAI3426270.1
OG0004997	scaffold28.g7552.t1	KAI3435664.1
OG0004998	scaffold28.g7556.t1	KAI3426295.1
OG0004999	scaffold28.g7557.t1	KAI3426294.1
OG0005000	scaffold28.g7558.t1	KAI3426291.1
OG0005001	scaffold28.g7562.t1	KAI3426300.1
OG0005002	scaffold28.g7565.t1	KAI3426302.1
OG0005003	scaffold28.g7568.t1	KAI3426323.1
OG0005004	scaffold28.g7574.t1	KAI3426253.1
OG0005005	scaffold28.g7577.t1	KAI3426232.1
OG0005006	scaffold28.g7579.t1	KAI3426231.1
OG0005007	scaffold28.g7587.t1	KAI3426225.1
OG0005008	scaffold28.g7588.t1	KAI3426226.1
OG0005009	scaffold28.g7589.t1	KAI3426227.1
OG0005010	scaffold28.g7594.t1	KAI3426221.1
OG0005011	scaffold28.g7596.t1	KAI3426220.1
OG0005012	scaffold28.g7597.t1	KAI3426219.1
OG0005013	scaffold28.g7598.t1	KAI3426218.1
OG0005014	scaffold28.g7599.t1	KAI3426217.1
OG0005015	scaffold28.g7600.t1	KAI3426215.1
OG0005016	scaffold28.g7601.t1	KAI3426127.1
OG0005017	scaffold20.g7603.t1	KAI3438074.1
OG0005018	scaffold20.g7609.t1	KAI3438062.1
OG0005019	scaffold20.g7612.t1	KAI3438066.1
OG0005020	scaffold20.g7614.t1	KAI3438063.1
OG0005021	scaffold20.g7617.t1	KAI3438061.1
OG0005022	scaffold20.g7618.t1	KAI3438060.1
OG0005023	scaffold20.g7621.t1	KAI3438058.1
OG0005024	scaffold20.g7622.t1	KAI3438059.1
OG0005025	scaffold20.g7623.t1	KAI3438055.1
OG0005026	scaffold20.g7626.t1	KAI3438053.1
OG0005027	scaffold20.g7627.t1	KAI3438049.1
OG0005028	scaffold20.g7630.t1	KAI3438050.1
OG0005029	scaffold20.g7632.t1	KAI3438047.1
OG0005030	scaffold20.g7635.t1	KAI3428161.1, KAI3428160.1, KAI3428159.1
OG0005031	scaffold20.g7636.t1	KAI3438045.1
OG0005032	scaffold20.g7637.t1	KAI3438044.1
OG0005033	scaffold20.g7640.t1	KAI3438041.1
OG0005034	scaffold20.g7642.t1	KAI3438040.1
OG0005035	scaffold20.g7644.t1	KAI3438010.1
OG0005036	scaffold20.g7645.t1	KAI3438009.1
OG0005037	scaffold20.g7647.t1	KAI3438011.1
OG0005038	scaffold20.g7649.t1	KAI3438013.1
OG0005039	scaffold20.g7660.t1	KAI3438020.1
OG0005040	scaffold20.g7666.t1	KAI3438034.1
OG0005041	scaffold20.g7669.t1	KAI3438035.1
OG0005042	scaffold20.g7671.t1	KAI3431630.1
OG0005043	scaffold20.g7673.t1	KAI3433697.1
OG0005044	scaffold20.g7675.t1	KAI3438038.1
OG0005045	scaffold20.g7677.t1	KAI3438008.1
OG0005046	scaffold20.g7682.t1	KAI3438003.1
OG0005047	scaffold20.g7683.t1	KAI3438000.1
OG0005048	scaffold20.g7684.t1	KAI3438002.1
OG0005049	scaffold20.g7686.t1	KAI3437997.1
OG0005050	scaffold20.g7687.t1	KAI3437996.1
OG0005051	scaffold20.g7688.t1	KAI3437995.1
OG0005052	scaffold20.g7690.t1	KAI3430231.1
OG0005053	scaffold20.g7691.t1	KAI3437986.1
OG0005054	scaffold20.g7692.t1	KAI3437982.1
OG0005055	scaffold20.g7693.t1	KAI3437981.1
OG0005056	scaffold20.g7701.t1	KAI3438146.1
OG0005057	scaffold20.g7702.t1	KAI3438145.1
OG0005058	scaffold20.g7703.t1	KAI3438144.1
OG0005059	scaffold20.g7705.t1	KAI3438135.1
OG0005060	scaffold20.g7706.t1	KAI3438136.1
OG0005061	scaffold20.g7708.t1	KAI3435009.1
OG0005062	scaffold20.g7709.t1	KAI3428703.1
OG0005063	scaffold20.g7712.t1	KAI3438140.1
OG0005064	scaffold20.g7713.t1	KAI3438143.1
OG0005065	scaffold20.g7715.t1	KAI3438126.1
OG0005066	scaffold20.g7716.t1	KAI3438125.1
OG0005067	scaffold20.g7718.t1	KAI3438127.1
OG0005068	scaffold20.g7719.t1	KAI3438128.1
OG0005069	scaffold20.g7720.t1	KAI3438129.1
OG0005070	scaffold20.g7723.t1	KAI3438124.1
OG0005071	scaffold20.g7727.t1	KAI3438196.1
OG0005072	scaffold20.g7728.t1	KAI3438195.1
OG0005073	scaffold20.g7729.t1	KAI3438198.1
OG0005074	scaffold20.g7730.t1	KAI3432813.1
OG0005075	scaffold20.g7737.t1	KAI3437931.1
OG0005076	scaffold20.g7741.t1	KAI3437929.1
OG0005077	scaffold20.g7745.t1	KAI3437922.1
OG0005078	scaffold20.g7746.t1	KAI3437921.1
OG0005079	scaffold20.g7750.t1	KAI3437948.1
OG0005080	scaffold20.g7752.t1	KAI3437951.1
OG0005082	scaffold20.g7761.t1	KAI3437959.1
OG0005083	scaffold20.g7762.t1	KAI3437960.1
OG0005084	scaffold20.g7764.t1	KAI3437962.1
OG0005085	scaffold20.g7768.t1	KAI3437965.1
OG0005086	scaffold20.g7773.t1	KAI3438199.1
OG0005087	scaffold20.g7779.t1	KAI3438736.1
OG0005088	scaffold20.g7781.t1	KAI3437708.1
OG0005089	scaffold20.g7785.t1	KAI3437662.1
OG0005090	scaffold20.g7787.t1	KAI3437870.1
OG0005091	scaffold20.g7789.t1	KAI3437862.1
OG0005092	scaffold20.g7790.t1	KAI3437852.1
OG0005093	scaffold20.g7792.t1	KAI3437872.1
OG0005094	scaffold20.g7794.t1	KAI3437873.1
OG0005095	scaffold20.g7797.t1	KAI3437887.1
OG0005096	scaffold20.g7798.t1	KAI3437888.1
OG0005097	scaffold20.g7799.t1	KAI3437889.1
OG0005098	scaffold20.g7801.t1	KAI3437703.1
OG0005099	scaffold20.g7802.t1	KAI3437820.1
OG0005100	scaffold20.g7803.t1	KAI3437822.1, KAI3437821.1
OG0005101	scaffold20.g7805.t1	KAI3437613.1
OG0005102	scaffold20.g7806.t1	KAI3437614.1
OG0005103	scaffold20.g7807.t1	KAI3437938.1
OG0005104	scaffold20.g7811.t1	KAI3437659.1
OG0005105	scaffold20.g7812.t1	KAI3437840.1
OG0005106	scaffold20.g7813.t1	KAI3437665.1
OG0005107	scaffold20.g7814.t1	KAI3437841.1
OG0005108	scaffold20.g7815.t1	KAI3437601.1
OG0005109	scaffold20.g7818.t1	KAI3437713.1
OG0005110	scaffold20.g7820.t1	KAI3429706.1
OG0005111	scaffold20.g7821.t1	KAI3437857.1
OG0005112	scaffold20.g7823.t1	KAI3428717.1
OG0005113	scaffold20.g7826.t1	KAI3437640.1
OG0005114	scaffold20.g7828.t1	KAI3437658.1
OG0005115	scaffold20.g7831.t1	KAI3437850.1
OG0005116	scaffold20.g7832.t1	KAI3437851.1
OG0005117	scaffold20.g7833.t1	KAI3437855.1
OG0005118	scaffold20.g7837.t1	KAI3437854.1
OG0005119	scaffold20.g7838.t1	KAI3437867.1
OG0005120	scaffold20.g7842.t1	KAI3437844.1
OG0005121	scaffold20.g7843.t1	KAI3437843.1
OG0005122	scaffold20.g7848.t1	KAI3437827.1
OG0005123	scaffold20.g7849.t1	KAI3437719.1
OG0005124	scaffold20.g7855.t1	KAI3437838.1
OG0005125	scaffold20.g7857.t1	KAI3437666.1
OG0005127	scaffold20.g7861.t1	KAI3437864.1
OG0005128	scaffold20.g7866.t1	KAI3437681.1
OG0005129	scaffold20.g7868.t1	KAI3437673.1
OG0005130	scaffold20.g7872.t1	KAI3438166.1
OG0005131	scaffold20.g7873.t1	KAI3438167.1
OG0005132	scaffold20.g7878.t1	KAI3437891.1
OG0005133	scaffold20.g7879.t1	KAI3437895.1
OG0005134	scaffold20.g7881.t1	KAI3437893.1
OG0005135	scaffold20.g7883.t1	KAI3437898.1
OG0005136	scaffold20.g7885.t1	KAI3437899.1
OG0005137	scaffold20.g7887.t1	KAI3437901.1
OG0005138	scaffold20.g7888.t1	KAI3437902.1
OG0005139	scaffold20.g7889.t1	KAI3437903.1
OG0005140	scaffold20.g7891.t1	KAI3437904.1
OG0005141	scaffold20.g7892.t1	KAI3437907.1
OG0005142	scaffold20.g7896.t1	KAI3437878.1
OG0005143	scaffold20.g7898.t1	KAI3437886.1
OG0005144	scaffold20.g7899.t1	KAI3437884.1
OG0005145	scaffold12.g7901.t1	KAI3425710.1
OG0005146	scaffold12.g7902.t1	KAI3425713.1
OG0005147	scaffold12.g7905.t1	KAI3425696.1
OG0005148	scaffold12.g7907.t1	KAI3425708.1
OG0005149	scaffold12.g7911.t1	KAI3425852.1
OG0005150	scaffold12.g7913.t1	KAI3425895.1
OG0005151	scaffold12.g7916.t1	KAI3425893.1
OG0005152	scaffold12.g7921.t1	KAI3425891.1
OG0005153	scaffold12.g7922.t1	KAI3425889.1
OG0005154	scaffold12.g7923.t1	KAI3425722.1
OG0005155	scaffold12.g7929.t1	KAI3425876.1
OG0005156	scaffold12.g7932.t1	KAI3425881.1
OG0005157	scaffold12.g7933.t1	KAI3425880.1
OG0005158	scaffold12.g7935.t1	KAI3425739.1
OG0005159	scaffold12.g7943.t1	KAI3425806.1
OG0005160	scaffold12.g7944.t1	KAI3425786.1
OG0005161	scaffold12.g7948.t1	KAI3425766.1
OG0005162	scaffold12.g7949.t1	KAI3425757.1
OG0005163	scaffold12.g7952.t1	KAI3425758.1
OG0005164	scaffold12.g7959.t1	KAI3425754.1
OG0005165	scaffold12.g7960.t1	KAI3425752.1
OG0005166	scaffold12.g7962.t1	KAI3425777.1
OG0005167	scaffold12.g7966.t1	KAI3425765.1
OG0005168	scaffold12.g7967.t1	KAI3425763.1
OG0005169	scaffold12.g7971.t1	KAI3425730.1
OG0005170	scaffold12.g7974.t1	KAI3425743.1
OG0005171	scaffold12.g7975.t1	KAI3425744.1
OG0005172	scaffold12.g7978.t1	KAI3425799.1
OG0005173	scaffold12.g7979.t1	KAI3425795.1
OG0005174	scaffold12.g7980.t1	KAI3425791.1
OG0005175	scaffold12.g7985.t1	KAI3425853.1
OG0005176	scaffold12.g7987.t1	KAI3425857.1
OG0005177	scaffold12.g7988.t1	KAI3432253.1
OG0005178	scaffold12.g7989.t1	KAI3425864.1
OG0005179	scaffold12.g7990.t1	KAI3425855.1
OG0005180	scaffold12.g7993.t1	KAI3425858.1
OG0005181	scaffold12.g7995.t1	KAI3425862.1
OG0005182	scaffold12.g7998.t1	KAI3425728.1
OG0005183	scaffold12.g7999.t1	KAI3425872.1
OG0005184	scaffold12.g8003.t1	KAI3425945.1
OG0005185	scaffold12.g8007.t1	KAI3425927.1
OG0005186	scaffold12.g8008.t1	KAI3425953.1
OG0005187	scaffold12.g8009.t1	KAI3425948.1
OG0005188	scaffold12.g8011.t1	KAI3425898.1
OG0005189	scaffold12.g8014.t1	KAI3425900.1
OG0005190	scaffold12.g8019.t1	KAI3425907.1
OG0005191	scaffold12.g8021.t1	KAI3425905.1
OG0005192	scaffold12.g8025.t1	KAI3425923.1
OG0005193	scaffold12.g8026.t1	KAI3425814.1
OG0005194	scaffold12.g8038.t1	KAI3425844.1
OG0005195	scaffold12.g8039.t1	KAI3425846.1
OG0005196	scaffold12.g8040.t1	KAI3425847.1
OG0005197	scaffold12.g8043.t1	KAI3425848.1
OG0005198	scaffold12.g8044.t1	KAI3425849.1
OG0005199	scaffold12.g8046.t1	KAI3425782.1
OG0005200	scaffold12.g8048.t1	KAI3425836.1
OG0005201	scaffold12.g8049.t1	KAI3425837.1
OG0005202	scaffold12.g8050.t1	KAI3425839.1
OG0005203	scaffold12.g8051.t1	KAI3425841.1
OG0005204	scaffold12.g8052.t1	KAI3425840.1
OG0005205	scaffold12.g8053.t1	KAI3425793.1
OG0005206	scaffold12.g8054.t1	KAI3425794.1
OG0005207	scaffold12.g8056.t1	KAI3425822.1
OG0005208	scaffold12.g8058.t1	KAI3425821.1
OG0005209	scaffold12.g8059.t1	KAI3425825.1
OG0005210	scaffold12.g8060.t1	KAI3425824.1
OG0005211	scaffold12.g8061.t1	KAI3433314.1
OG0005212	scaffold12.g8062.t1	KAI3425827.1
OG0005213	scaffold12.g8068.t1	KAI3425829.1
OG0005214	scaffold12.g8072.t1	KAI3425803.1
OG0005215	scaffold12.g8077.t1	KAI3428745.1
OG0005216	scaffold12.g8081.t1	KAI3430449.1
OG0005217	scaffold12.g8082.t1	KAI3426053.1
OG0005218	scaffold12.g8084.t1	KAI3425951.1
OG0005219	scaffold12.g8087.t1	KAI3426039.1
OG0005220	scaffold12.g8089.t1	KAI3426043.1
OG0005221	scaffold12.g8091.t1	KAI3426045.1
OG0005222	scaffold12.g8095.t1	KAI3425983.1
OG0005223	scaffold12.g8096.t1	KAI3426033.1
OG0005224	scaffold12.g8098.t1	KAI3426036.1
OG0005225	scaffold12.g8101.t1	KAI3425968.1
OG0005226	scaffold12.g8106.t1	KAI3425978.1
OG0005227	scaffold12.g8109.t1	KAI3425974.1
OG0005228	scaffold12.g8110.t1	KAI3425973.1
OG0005229	scaffold12.g8113.t1	KAI3431255.1
OG0005230	scaffold12.g8115.t1	KAI3426029.1
OG0005231	scaffold12.g8116.t1	KAI3426028.1
OG0005232	scaffold12.g8117.t1	KAI3426031.1
OG0005233	scaffold12.g8126.t1	KAI3425998.1
OG0005234	scaffold12.g8128.t1	KAI3426007.1
OG0005235	scaffold12.g8130.t1	KAI3426013.1
OG0005236	scaffold12.g8134.t1	KAI3425929.1
OG0005237	scaffold12.g8135.t1	KAI3426082.1
OG0005238	scaffold12.g8136.t1	KAI3436600.1
OG0005239	scaffold12.g8138.t1	KAI3426102.1
OG0005240	scaffold12.g8141.t1	KAI3425930.1
OG0005241	scaffold12.g8143.t1	KAI3425952.1
OG0005242	scaffold12.g8144.t1	KAI3425919.1
OG0005243	scaffold12.g8145.t1	KAI3425921.1
OG0005244	scaffold12.g8148.t1	KAI3425957.1
OG0005245	scaffold12.g8149.t1	KAI3425956.1
OG0005246	scaffold12.g8150.t1	KAI3425995.1
OG0005247	scaffold12.g8159.t1	KAI3424470.1
OG0005248	scaffold12.g8160.t1	KAI3424469.1
OG0005249	scaffold12.g8162.t1	KAI3424456.1
OG0005250	scaffold12.g8165.t1	KAI3424459.1
OG0005251	scaffold12.g8168.t1	KAI3424463.1
OG0005252	scaffold12.g8169.t1	KAI3424477.1
OG0005253	scaffold12.g8170.t1	KAI3424478.1
OG0005254	scaffold12.g8172.t1	KAI3433884.1
OG0005255	scaffold12.g8176.t1	KAI3433941.1
OG0005256	scaffold12.g8178.t1	KAI3424276.1
OG0005257	scaffold12.g8179.t1	KAI3424275.1
OG0005258	scaffold12.g8180.t1	KAI3432284.1
OG0005259	scaffold12.g8182.t1	KAI3424439.1
OG0005260	scaffold12.g8185.t1	KAI3432473.1
OG0005261	scaffold12.g8190.t1	KAI3424429.1
OG0005262	scaffold12.g8191.t1	KAI3424428.1
OG0005263	scaffold12.g8200.t1	KAI3434601.1
OG0005264	scaffold12.g8202.t1	KAI3424418.1
OG0005265	scaffold12.g8205.t1	KAI3424466.1
OG0005266	scaffold12.g8206.t1	KAI3424465.1
OG0005267	scaffold12.g8207.t1	KAI3424344.1
OG0005268	scaffold12.g8208.t1	KAI3424345.1
OG0005269	scaffold12.g8211.t1	KAI3424363.1
OG0005270	scaffold12.g8215.t1	KAI3424367.1
OG0005271	scaffold12.g8218.t1	KAI3424379.1
OG0005272	scaffold12.g8227.t1	KAI3424897.1
OG0005273	scaffold12.g8229.t1	KAI3424349.1
OG0005274	scaffold12.g8230.t1	KAI3424350.1
OG0005275	scaffold12.g8232.t1	KAI3424330.1
OG0005276	scaffold12.g8237.t1	KAI3431595.1
OG0005277	scaffold12.g8244.t1	KAI3424303.1
OG0005278	scaffold12.g8251.t1	KAI3424318.1
OG0005279	scaffold12.g8253.t1	KAI3424323.1, KAI3438754.1
OG0005280	scaffold12.g8262.t1	KAI3424324.1
OG0005281	scaffold12.g8266.t1	KAI3438755.1
OG0005283	scaffold12.g8269.t1	KAI3424394.1
OG0005284	scaffold12.g8279.t1	KAI3424295.1
OG0005285	scaffold12.g8280.t1	KAI3424297.1
OG0005286	scaffold12.g8281.t1	KAI3424296.1
OG0005287	scaffold12.g8287.t1	KAI3424281.1
OG0005288	scaffold12.g8290.t1	KAI3424298.1
OG0005289	scaffold12.g8291.t1	KAI3424299.1
OG0005290	scaffold12.g8292.t1	KAI3424326.1
OG0005291	scaffold12.g8294.t1	KAI3424277.1
OG0005528	scaffold16.g2.t1	KAI3425102.1
OG0005529	scaffold16.g12.t1	KAI3425090.1
OG0005530	scaffold16.g13.t1	KAI3425084.1
OG0005531	scaffold16.g24.t1	KAI3425029.1
OG0005532	scaffold16.g35.t1	KAI3424884.1
OG0005534	scaffold16.g49.t1	KAI3424894.1
OG0005535	scaffold16.g50.t1	KAI3423904.1
OG0005536	scaffold16.g57.t1	KAI3425123.1
OG0005537	scaffold16.g59.t1	KAI3425306.1
OG0005538	scaffold16.g66.t1	KAI3425154.1
OG0005539	scaffold16.g80.t1	KAI3425173.1
OG0005541	scaffold16.g95.t1	KAI3424981.1
OG0005542	scaffold16.g108.t1	KAI3425178.1
OG0005543	scaffold16.g114.t1	KAI3425156.1
OG0005544	scaffold16.g122.t1	KAI3425304.1
OG0005545	scaffold16.g127.t1	KAI3425305.1
OG0005546	scaffold16.g128.t1	KAI3425284.1
OG0005547	scaffold16.g131.t1	KAI3425318.1, KAI3425317.1
OG0005548	scaffold16.g133.t1	KAI3425314.1
OG0005549	scaffold16.g136.t1	KAI3425315.1
OG0005551	scaffold16.g147.t1	KAI3425346.1
OG0005552	scaffold13.g161.t1	KAI3430587.1
OG0005553	scaffold13.g164.t1	KAI3430589.1
OG0005555	scaffold13.g175.t1	KAI3430451.1
OG0005556	scaffold13.g183.t1	KAI3424443.1
OG0005557	scaffold13.g187.t1	KAI3430443.1
OG0005558	scaffold13.g192.t1	KAI3430438.1
OG0005559	scaffold13.g204.t1	KAI3430416.1
OG0005560	scaffold13.g226.t1	KAI3430620.1
OG0005561	scaffold13.g228.t1	KAI3429302.1
OG0005562	scaffold13.g235.t1	KAI3430626.1
OG0005563	scaffold13.g238.t1	KAI3430643.1
OG0005564	scaffold13.g242.t1	KAI3430647.1
OG0005565	scaffold13.g250.t1	KAI3430639.1
OG0005566	scaffold13.g259.t1	KAI3430649.1
OG0005567	scaffold13.g260.t1	KAI3430652.1
OG0005568	scaffold13.g280.t1	KAI3430601.1
OG0005569	scaffold13.g296.t1	KAI3430606.1
OG0005570	scaffold13.g308.t1	KAI3426957.1
OG0005571	scaffold13.g315.t1	KAI3430369.1
OG0005573	scaffold13.g334.t1	KAI3430348.1
OG0005574	scaffold13.g342.t1	KAI3435776.1
OG0005575	scaffold13.g352.t1	KAI3430307.1
OG0005576	scaffold13.g357.t1	KAI3430293.1
OG0005577	scaffold13.g359.t1	KAI3430294.1
OG0005578	scaffold13.g360.t1	KAI3430296.1
OG0005579	scaffold13.g369.t1	KAI3430286.1
OG0005580	scaffold13.g375.t1	KAI3430278.1
OG0005581	scaffold13.g385.t1	KAI3430271.1
OG0005582	scaffold13.g393.t1	KAI3430252.1
